tau_sat,b,tau_0,gamma_0,n,strain,stress,g1_phi1,g1_phi,g1_phi2,g2_phi1,g2_phi,g2_phi2,g3_phi1,g3_phi,g3_phi2,g4_phi1,g4_phi,g4_phi2,g5_phi1,g5_phi,g5_phi2,g6_phi1,g6_phi,g6_phi2,g7_phi1,g7_phi,g7_phi2,g8_phi1,g8_phi,g8_phi2,g9_phi1,g9_phi,g9_phi2,g10_phi1,g10_phi,g10_phi2
700,15,300,3.333e-05,5.5,0.0,0.0,5.461862333656638,2.3445835128105275,1.8218495478565915,5.9657198646185545,2.0529651747410553,2.127587948640549,5.746693958929731,2.4155376046223296,1.3143989075635951,5.0432803682166885,2.723436373954406,1.1960589520272213,0.148594365455069,2.6323195404918636,2.799911989387816,5.4935706028422455,2.3942070631690813,1.2813868774267478,4.318392944518808,2.1056303103870584,0.6624500150370348,0.47631780616177233,2.2201120410789734,2.876929005955196,5.220710365441507,2.2855058629597713,0.7064827522026743,5.603449376697875,2.66086771653381,1.6240222367295662
,,,,,0.0025,498.96,5.4618546325898745,2.3445704269996646,1.8218323731095762,5.965621347644394,2.052952924137612,2.1275274982719634,5.746771870362435,2.4155621723063163,1.3144726273055871,5.04322465579733,2.723373561212255,1.196011433980265,0.14864516540705752,2.632314909885215,2.8000299116908853,5.4935903382690245,2.394242971401295,1.2814555134066685,4.318466460844173,2.105643822658442,0.662450433304593,0.4763848991402777,2.220098597462732,2.876976601491218,5.2207296115762345,2.2855232253770748,0.706495757145347,5.6032990428948395,2.660818908419916,1.6238712715196382
,,,,,0.005,825.64,5.461737105532527,2.3443824079335136,1.8215672691808846,5.9647965270338545,2.052861981708001,2.1270484221399344,5.747210868734745,2.4156839454653083,1.3148557494685114,5.042723642082683,2.7227676970908923,1.1955528621726768,0.14893385577566187,2.632287804105682,2.8007201137127016,5.493648176880059,2.394456446848109,1.281902507248832,4.3189462635748495,2.1057491728824,0.6624232047935668,0.4769829593177435,2.22000351078856,2.8773075043249974,5.220855682758641,2.2856272564386853,0.7065758638117416,5.602044568826137,2.660413731372656,1.622671326554424
,,,,,0.0075,1042.6,5.461538028770281,2.344052751055279,1.8210862778207173,5.963498665798073,2.052783544265968,2.126358628501173,5.747790095523509,2.415813481243515,1.3153415716653154,5.042039700581783,2.721822994275963,1.1948734668023928,0.14933313258229397,2.6322608404546943,2.8016732662151047,5.493596893230064,2.3946503943820416,1.2825372780706654,4.31961657050878,2.1059468832206356,0.6623639069303173,0.4779891962951375,2.219921324454867,2.8777151768353693,5.221029397140345,2.2857594507704846,0.7066809302515704,5.600005647897241,2.659835670770129,1.6208463804961388
,,,,,0.01,1217.3,5.461338267934585,2.3436996354692976,1.8205663172434787,5.962060323519833,2.052769384844069,2.1256508807377528,5.748386769329471,2.415905838411973,1.315851981268174,5.041349955622079,2.7208145146185534,1.194162341594631,0.14978141929297895,2.632261134580211,2.802693561216245,5.493435425729363,2.394757368139599,1.2832551805769001,4.320311252321657,2.1062407089909,0.6623246453836047,0.4791816170435004,2.219890584561876,2.878100823238528,5.221187997635006,2.2858751065710563,0.7067713200566147,5.597632120579897,2.659265702496164,1.6188280376690884
,,,,,0.0125,1372.9,5.4611514373111385,2.3433499177800456,1.8200504042936332,5.96057801926692,2.052785784837001,2.124946548986869,5.7489796253781185,2.4159558020779945,1.3163855720808881,5.040649059086221,2.7198010906371715,1.1934394824867016,0.15027511088243317,2.6323005808267688,2.8037391656208484,5.493204616330608,2.3948121163091263,1.2840283550293778,4.320991644826197,2.106623601738788,0.662322439762627,0.4804663641147626,2.2198916062604335,2.8784689270223596,5.221315847535217,2.2859684718086233,0.7068377465013151,5.595104246068969,2.6587146261520576,1.6167348252166382
,,,,,0.015,1516.7,5.4609739845513,2.3430035301978,1.8195394049142757,5.959071860142584,2.052804223340131,2.1242355715841144,5.749569182723971,2.415969309061972,1.3169467038819453,5.039929899469432,2.718785937928984,1.1927047814725735,0.15081596090784766,2.6323774820932013,2.8048056874471556,5.4929319938649375,2.3948434596743158,1.2848438170312608,4.3216562093737,2.1070714509110364,0.6623443814266087,0.48180476241329506,2.2199068193587195,2.8788309795585363,5.2214214974165785,2.286047679129104,0.7068873591948492,5.592493352723248,2.6581646887854373,1.6145975150844283
,,,,,0.0175,1651.7,5.460802269786986,2.342657810648159,1.819029765655429,5.957545869123212,2.052814339978629,2.12351202066093,5.7501585161136255,2.4159537575692385,1.3175363084176763,5.039194113831713,2.717766162249631,1.1919597819808636,0.15140245454928758,2.632484439427284,2.805894638754361,5.492632294050027,2.3948649379907634,1.2856941372055417,4.32230991785027,2.1075618378780514,0.6623763479235462,0.4831793020802948,2.2199272684029037,2.879193068196166,5.221514179410881,2.2861194079814973,0.7069275287643007,5.589828459981847,2.657605914375265,1.6124258359267365
,,,,,0.02,1779.1,5.460634178011253,2.34231105388252,1.8185191871763813,5.956001044100525,2.052814331739844,2.122774296516248,5.750749871674426,2.4159152413721006,1.318153067702796,5.03844511819365,2.7167398288160327,1.1912064587862397,0.1520311188247816,2.632613861726078,2.807007075001372,5.492313104052789,2.394882126940623,1.286574693232289,4.322957235567748,2.108080049507406,0.6624105727427565,0.4845811301169092,2.219948841385022,2.8795576710665265,5.221599293224346,2.286187258446802,0.7069624821653376,5.587122028487386,2.657034672860505,1.6102239687162376
,,,,,0.0225,1899.6,5.460468587616736,2.3419624284077667,1.8180065754711563,5.954437789209587,2.0528050776687974,2.1220226166968064,5.751344490789283,2.4158581925122706,1.3187948454978677,5.037685784143763,2.715706090401612,1.1904463794090632,0.1526981172975277,2.6327598629705604,2.8081429742405173,5.491978352387501,2.3948972689025583,1.287482355040733,4.323601264762544,2.1086175445169806,0.6624438526791186,0.4860051866775197,2.2199696309619363,2.879925524769743,5.221679664108764,2.2862530127413256,0.7069943170799883,5.58437999640775,2.656450051629334,1.6079944688011898
,,,,,0.025,2013.4,5.460304913498464,2.341611607628085,1.817491525216812,5.952856385697434,2.0527879506603943,2.121257758925874,5.75194293359267,2.415785703054942,1.3194594246920923,5.036918183659257,2.7146647383633473,1.1896806701759524,0.15339998784869824,2.6329183397911566,2.8093016522207215,5.491630110773248,2.3949113014448766,1.2884148291461386,4.324244036805454,2.1091695545740774,0.6624751976338968,0.4874481811563989,2.219988696286659,2.880296595984151,5.221756778612503,2.2863175444535946,0.7070240357058666,5.58160569058632,2.6558520854579624,1.605739364422092
,,,,,0.0275,2120.8,5.460142854811851,2.3412585311545144,1.8169739870108792,5.951257109264896,2.0527641687912173,2.1204805909427207,5.752545362745009,2.4156999215055097,1.3201447956514654,5.036143795638308,2.713615913426636,1.1889101635743884,0.15413384672129382,2.633086535154533,2.810482154121945,5.491269502370342,2.3949246730507725,1.2893703199929978,4.324886863655909,2.1097334308947246,0.6625045028981088,0.48890769324666783,2.220005526340697,2.8806705319403516,5.221831448965936,2.2863812826911016,0.7070521114245409,5.578801388021597,2.655241076019617,1.6034604930128469
,,,,,0.03,2222.0,5.459982263935679,2.3409032766431044,1.8164540917774923,5.949640272172683,2.0527346684576324,2.1196919240981,5.753151723936104,2.415602365639813,1.320849230261803,5.035363726743861,2.712559954688745,1.1881355282813617,0.15489736645579555,2.633262596447342,2.8116834778609627,5.490897165658886,2.3949376637846327,1.2903473435539468,4.325530589227787,2.1103076830572434,0.662531950123891,0.4903817497779386,2.2200198088189897,2.881046862530335,5.221904139990466,2.2864444384972358,0.7070787660617723,5.575968961085492,2.654617360618182,1.6011596150984453
,,,,,0.0325,2317.2,5.459823077245349,2.340545993689606,1.815932061847388,5.948006241249365,2.05270013036646,2.1188924839423517,5.753761849264654,2.41549413932174,1.321571268630529,5.034578866730769,2.7114973220467005,1.1873573527679306,0.1556886823630812,2.6334452489730324,2.8129046739772114,5.490513496404571,2.394950509215495,1.2913446173616014,4.326175752613974,2.1108914464921953,0.6625577693670994,0.49186861626527634,2.2200313295468397,2.8814250887680357,5.221975131542681,2.286507116329345,0.7071041033630282,5.573110152121816,2.6539812472334208,1.5988384586335105
,,,,,0.035,2406.6,5.459665277123367,2.340186869498266,1.8154081655317293,5.9463554443729745,2.0526610376718115,2.1180829185135486,5.754375513815287,2.415376075630951,1.322309677130094,5.0337899850301095,2.710428554296048,1.186576192647689,0.15650629047416764,2.6336335797352652,2.814144877849692,5.490118776138532,2.3949634458911526,1.2923609916860614,4.326822692192177,2.111484190186363,0.6625821578221827,0.4933666914863766,2.2200399285447276,2.881804719635453,5.222044602041384,2.286569369711772,0.7071281737151648,5.570226691268385,2.6533330067667733,1.5964987392982486
,,,,,0.0375,2490.3,5.459508870264049,2.339826110471582,1.8148826930901574,5.944688370420009,2.052617730714582,2.1172638157345753,5.754992465979496,2.4152488298065053,1.3230634023572034,5.0329977873434455,2.709354244391497,1.1857925950119932,0.1573489582670513,2.633826900768151,2.8154033102354403,5.489713240871968,2.394976725263531,1.2933954046079517,4.327471612434752,2.112085555932319,0.6626052611143419,0.4948744542852821,2.2200454812410344,2.8821852856726053,5.22211267305962,2.2866312291720945,0.7071510057484784,5.567320344741459,2.6526728825075305,1.594142170821074
,,,,,0.04,2568.5,5.459353874867492,2.3394639318113364,1.8143559433057264,5.943005565381465,2.0525704504080404,2.1164357202941555,5.755612443580503,2.4151129394855455,1.3238315300652557,5.032202947204558,2.7082750231091004,1.185007109210717,0.15821565285706907,2.6340246645407177,2.8166792653991015,5.489297117378628,2.39499061493772,1.2944468519661412,4.328122627466267,2.1126952699203927,0.6626271771419329,0.49639043808024175,2.22004789098943,2.88256634237857,5.222179433968216,2.2866927161409545,0.7071726216865882,5.564392930792293,2.65200110278673,1.5917704699355995
,,,,,0.0425,2641.5,5.459200312917736,2.339100551228146,1.8138282154485843,5.941307626244591,2.052519370522686,2.1155991472834157,5.756235182473542,2.4149688639032543,1.3246132515142377,5.031406122331827,2.7071915469584273,1.1842202899178955,0.15910548549130477,2.634226412144022,2.8179720961260997,5.488870641374515,2.3950053949797963,1.2955143671068254,4.328775790058377,2.1133130946747727,0.6626479663780052,0.49791322054460263,2.2200470865759825,2.8829474694866146,5.222244955959974,2.286753849648386,0.7071930445719136,5.561446319983972,2.6513178922887706,1.5893853577277153
,,,,,0.045,2709.5,5.459048205501475,2.3387361848320176,1.8132998040934702,5.9395951936117815,2.05246462104604,2.114754592268673,5.756860421206602,2.4148170095329773,1.3254078370848246,5.030607961839366,2.7061044883646552,1.1834326959135852,0.16001766960106423,2.634431741819536,2.819281199673257,5.488434065345357,2.395021352511069,1.2965970073738926,4.32943111139566,2.1139388038456453,0.6626676625916307,0.4994414216982612,2.2200430217300173,2.8833282689140987,5.222309300210058,2.286814649303791,0.7072123013706807,5.558482427643666,2.6506234808789007,1.5869885582814405
