tau_sat,b,tau_0,gamma_0,n,strain,stress,grain_id,0p2_phi_1,0p2_Phi,0p2_phi_2,0p4_phi_1,0p4_Phi,0p4_phi_2,0p6_phi_1,0p6_Phi,0p6_phi_2,0p8_phi_1,0p8_Phi,0p8_phi_2,1p0_phi_1,1p0_Phi,1p0_phi_2
200,3,200,3.333e-05,8,0.0,0.0,1,6.0548,2.3688,5.7741,6.0516,2.3685,5.7712,6.0483,2.3684,5.7685,6.0451,2.3683,5.7658,6.0419,2.3682,5.7633
,,,,,0.002,383.78,2,4.9542,1.8355,4.042,4.9543,1.834,4.0413,4.9543,1.8326,4.0405,4.9542,1.8312,4.0398,4.9542,1.83,4.0392
,,,,,0.004,499.25,3,4.6193,2.4439,4.0148,4.6174,2.4453,4.014,4.6156,2.4468,4.0132,4.6137,2.4483,4.0125,4.6119,2.4497,4.0118
,,,,,0.006,541.37,4,0.38984,2.7305,6.235,0.3931,2.7305,6.2366,0.39631,2.7306,6.2383,0.39954,2.7307,6.24,0.40259,2.7307,6.2416
,,,,,0.008,558.92,5,5.6005,2.8549,5.6965,5.5934,2.8535,5.6912,5.5868,2.8522,5.6863,5.5804,2.8508,5.6816,5.5745,2.8496,5.6772
,,,,,0.01,570.49,6,5.7087,2.0175,5.1487,5.709,2.0163,5.1502,5.7093,2.0151,5.1516,5.7096,2.0141,5.153,5.71,2.013,5.1544
,,,,,0.012,580.38,7,0.6028,2.4193,0.40709,0.60243,2.4194,0.40724,0.60193,2.4194,0.40731,0.60143,2.4194,0.40738,0.60095,2.4194,0.40745
,,,,,0.014,589.56,8,5.079,2.0116,4.0217,5.08,2.0093,4.0207,5.0809,2.0071,4.0198,5.0817,2.005,4.0189,5.0824,2.003,4.0181
,,,,,0.016,598.35,9,4.5304,2.1623,4.2923,4.5322,2.1625,4.2991,4.534,2.1628,4.3056,4.5359,2.1633,4.3121,4.5376,2.1637,4.3182
,,,,,0.018,606.89,10,5.8222,2.17,5.0629,5.8209,2.1644,5.0645,5.8197,2.1588,5.0664,5.8186,2.1533,5.0685,5.8177,2.148,5.0704
,,,,,0.02,615.23,11,6.0497,2.3719,5.7711,6.0465,2.3716,5.7682,6.0432,2.3715,5.7655,6.0399,2.3713,5.7628,6.0368,2.3712,5.7603
,,,,,0.022,623.4,12,4.5312,2.0033,4.7428,4.5296,2.0037,4.7403,4.5281,2.0042,4.7379,4.5265,2.0047,4.7354,4.525,2.0052,4.7331
,,,,,0.024,631.42,13,6.0102,2.0249,5.3771,6.0074,2.022,5.3779,6.0049,2.0193,5.3787,6.0025,2.0166,5.3795,6.0002,2.0141,5.3802
,,,,,0.026,639.3,14,2.7169,2.8951,2.9011,2.7129,2.895,2.901,2.7093,2.895,2.9011,2.7059,2.8951,2.9013,2.7027,2.8952,2.9016
,,,,,0.028,647.04,15,0.40503,2.7397,6.2454,0.40818,2.7398,6.2468,0.4113,2.7399,6.2485,0.41443,2.74,6.2501,0.4174,2.7401,6.2517
,,,,,0.03,654.65,16,4.6199,2.4451,4.014,4.6181,2.4466,4.0131,4.6162,2.4481,4.0123,4.6143,2.4496,4.0116,4.6124,2.451,4.0108
,,,,,0.032,662.13,17,6.0088,2.0251,5.3781,6.0061,2.0223,5.3789,6.0036,2.0196,5.3797,6.0012,2.0169,5.3804,5.999,2.0145,5.3811
,,,,,0.034,669.48,18,4.5318,2.0018,4.7457,4.5302,2.0022,4.7432,4.5286,2.0027,4.7407,4.527,2.0032,4.7383,4.5255,2.0036,4.736
,,,,,0.036,676.72,19,4.9558,1.8368,4.045,4.9558,1.8353,4.0443,4.9558,1.8339,4.0435,4.9558,1.8325,4.0428,4.9558,1.8312,4.0421
,,,,,0.038,683.83,20,3.8863,2.797,3.5389,3.8856,2.7977,3.5367,3.8849,2.7986,3.5344,3.8842,2.7997,3.5322,3.8836,2.8007,3.5301
,,,,,0.04,690.82,21,3.2578,2.9272,2.2937,3.2684,2.9306,2.3048,3.2791,2.9338,2.316,3.2898,2.9369,2.3272,3.3001,2.9397,2.338
,,,,,0.042,697.7,22,3.7662,2.6771,3.2446,3.7652,2.6779,3.2423,3.7642,2.6787,3.24,3.7632,2.6795,3.2376,3.7622,2.6802,3.2354
,,,,,0.044,704.47,23,0.39553,2.7355,6.2442,0.39875,2.7356,6.2457,0.40192,2.7357,6.2473,0.4051,2.7358,6.249,0.40811,2.7359,6.2505
,,,,,0.046,711.12,24,0.60584,2.4251,0.40991,0.60549,2.4252,0.41008,0.60501,2.4252,0.41017,0.60453,2.4252,0.41025,0.60407,2.4252,0.41033
,,,,,0.048,717.67,25,5.3388,2.6395,4.6966,5.3389,2.6414,4.6993,5.3388,2.6433,4.7019,5.3388,2.6451,4.7045,5.3388,2.6469,4.7071
,,,,,0.05,724.1,26,3.2543,2.925,2.2939,3.265,2.9285,2.3051,3.2759,2.9317,2.3164,3.2867,2.9348,2.3278,3.297,2.9376,2.3387
,,,,,0.052,730.43,27,0.22131,2.8226,0.14229,0.22679,2.8223,0.1468,0.23225,2.822,0.15128,0.23781,2.8216,0.15581,0.24319,2.8213,0.16018
,,,,,0.054,736.66,28,3.776,2.681,3.252,3.7749,2.6818,3.2495,3.7737,2.6827,3.247,3.7725,2.6835,3.2445,3.7714,2.6842,3.2422
,,,,,0.056,742.78,29,3.7735,2.6782,3.2501,3.7725,2.679,3.2477,3.7713,2.6798,3.2452,3.7702,2.6806,3.2428,3.7691,2.6814,3.2404
,,,,,0.058,748.8,30,5.922,2.6537,4.6508,5.9255,2.6549,4.6494,5.9294,2.6559,4.6483,5.9334,2.6567,4.6474,5.9372,2.6575,4.6466
,,,,,0.06,754.73,31,5.5018,2.0983,5.1214,5.5024,2.0983,5.1221,5.5031,2.0983,5.1228,5.5038,2.0983,5.1235,5.5045,2.0983,5.1241
,,,,,0.062,760.55,32,5.5941,2.8555,5.6895,5.5869,2.8541,5.6841,5.5804,2.8528,5.6792,5.5741,2.8514,5.6745,5.5682,2.8501,5.67
,,,,,0.064,766.28,33,3.8283,2.5979,2.8683,3.833,2.5994,2.874,3.8374,2.6006,2.8794,3.8417,2.6019,2.8847,3.8457,2.603,2.8896
,,,,,0.066,771.92,34,5.4958,2.1716,4.3137,5.4954,2.1695,4.311,5.4951,2.1676,4.3084,5.4947,2.1658,4.3059,5.4943,2.1641,4.3035
,,,,,0.068,777.46,35,4.5277,2.1577,4.2866,4.5295,2.1578,4.2934,4.5314,2.1582,4.3,4.5332,2.1586,4.3065,4.535,2.159,4.3127
,,,,,0.07,782.91,36,5.643,2.5932,5.7861,5.6421,2.593,5.7855,5.6414,2.5929,5.785,5.6407,2.5927,5.7846,5.6401,2.5926,5.7841
,,,,,0.072,788.27,37,4.5359,2.0006,4.7524,4.5342,2.001,4.7499,4.5326,2.0015,4.7474,4.531,2.0019,4.7449,4.5295,2.0023,4.7426
,,,,,0.074,793.54,38,6.2551,2.2409,4.9273,6.2536,2.2403,4.9206,6.2521,2.2398,4.914,6.2507,2.2394,4.9075,6.2493,2.239,4.9014
,,,,,0.076,798.72,39,6.2536,2.2413,4.9263,6.2521,2.2407,4.9196,6.2507,2.2403,4.913,6.2492,2.2398,4.9065,6.2479,2.2394,4.9003
,,,,,0.078,803.82,40,3.8822,2.8718,3.4712,3.8811,2.8729,3.4683,3.8796,2.8741,3.4652,3.878,2.8752,3.4619,3.8764,2.8763,3.4588
,,,,,0.08,808.84,41,6.1699,2.2456,4.7808,6.1687,2.2453,4.7756,6.1676,2.245,4.7708,6.1666,2.2447,4.7661,6.1657,2.2445,4.7617
,,,,,0.082,813.77,42,5.8193,2.1752,5.0575,5.818,2.1697,5.059,5.8168,2.1641,5.0608,5.8157,2.1585,5.0628,5.8148,2.1532,5.0648
,,,,,0.084,818.62,43,3.8375,2.5943,2.8758,3.842,2.5957,2.8814,3.8462,2.5969,2.8866,3.8503,2.5981,2.8917,3.8541,2.5992,2.8965
,,,,,0.086,823.39,44,0.66276,2.5015,0.53527,0.66296,2.5006,0.53639,0.66276,2.4995,0.53716,0.66246,2.4983,0.53787,0.66215,2.4972,0.53853
,,,,,0.088,828.09,45,4.3954,2.2253,3.9816,4.3945,2.2261,3.9837,4.3936,2.2269,3.9861,4.3927,2.2277,3.9885,4.3918,2.2285,3.9908
,,,,,0.09,832.7,46,5.5008,2.1027,5.1206,5.5015,2.1026,5.1213,5.5022,2.1026,5.122,5.5029,2.1025,5.1228,5.5035,2.1024,5.1235
,,,,,0.092,837.24,47,5.2862,2.9372,4.0034,5.2823,2.9377,4.0008,5.2773,2.9381,3.9969,5.2719,2.9384,3.9927,5.2666,2.9387,3.9885
,,,,,0.094,841.71,48,5.0766,2.2878,5.2598,5.0792,2.2896,5.2565,5.0818,2.2914,5.2529,5.0844,2.2932,5.2493,5.087,2.2949,5.2459
,,,,,0.096,846.1,49,3.2435,2.9269,2.2728,3.2537,2.9305,2.2834,3.2641,2.9338,2.2942,3.2744,2.937,2.3051,3.2843,2.9399,2.3155
,,,,,0.098,850.42,50,5.6821,2.1445,5.6644,5.686,2.145,5.6647,5.6899,2.1454,5.6649,5.6938,2.1457,5.6651,5.6975,2.146,5.6652
,,,,,0.1,854.66,51,5.2156,2.9853,5.1394,5.2057,2.9824,5.1291,5.1954,2.9794,5.1186,5.1852,2.9763,5.1082,5.1757,2.9733,5.0985
,,,,,0.102,858.84,52,3.7598,2.6708,3.2358,3.759,2.6716,3.2337,3.7581,2.6724,3.2314,3.7572,2.6731,3.2292,3.7564,2.6738,3.2272
,,,,,0.104,862.95,53,4.5321,1.9968,4.7366,4.5306,1.9974,4.7343,4.529,1.998,4.732,4.5276,1.9985,4.7297,4.5262,1.9991,4.7275
,,,,,0.106,866.99,54,4.5353,1.9977,4.7411,4.5337,1.9983,4.7387,4.5322,1.9988,4.7364,4.5307,1.9994,4.734,4.5293,1.9999,4.7318
,,,,,0.108,870.97,55,2.7576,2.8867,2.942,2.7535,2.8867,2.9419,2.7498,2.8867,2.942,2.7463,2.8868,2.9421,2.7431,2.8869,2.9424
,,,,,0.11,874.88,56,5.822,2.1697,5.0604,5.8207,2.1641,5.062,5.8195,2.1585,5.0639,5.8185,2.1529,5.0659,5.8176,2.1477,5.0678
,,,,,0.112,878.72,57,1.2128,2.6227,0.58156,1.2046,2.6272,0.57332,1.1964,2.6318,0.56504,1.1884,2.6363,0.55678,1.1808,2.6406,0.54895
,,,,,0.114,882.5,58,6.258,2.2449,4.9285,6.2565,2.2444,4.9218,6.2552,2.2439,4.9152,6.2538,2.2435,4.9087,6.2525,2.2432,4.9026
,,,,,0.116,886.22,59,4.4025,2.2281,3.9876,4.4017,2.2289,3.9898,4.4008,2.2297,3.9922,4.4,2.2305,3.9947,4.3991,2.2312,3.9971
,,,,,0.118,889.88,60,0.47048,2.4968,6.0783,0.47453,2.4967,6.0827,0.47857,2.4967,6.0871,0.48257,2.4967,6.0914,0.48632,2.4966,6.0954
,,,,,0.12,893.48,61,6.253,2.2437,4.9255,6.2516,2.2431,4.9187,6.2502,2.2426,4.9122,6.2487,2.2422,4.9056,6.2474,2.2418,4.8995
