tau_sat,b,tau_0,gamma_0,n,reason
100.0,0.5,100.0,3.333e-05,32.0,insufficient
100.0,1.0,100.0,3.333e-05,32.0,insufficient
100.0,2.0,100.0,3.333e-05,32.0,insufficient
100.0,4.0,100.0,3.333e-05,32.0,insufficient
100.0,8.0,100.0,3.333e-05,32.0,insufficient
100.0,16.0,100.0,3.333e-05,32.0,insufficient
200.0,0.5,100.0,3.333e-05,32.0,insufficient
200.0,1.0,100.0,3.333e-05,32.0,insufficient
200.0,2.0,100.0,3.333e-05,32.0,insufficient
200.0,4.0,100.0,3.333e-05,32.0,insufficient
200.0,8.0,100.0,3.333e-05,32.0,insufficient
200.0,16.0,100.0,3.333e-05,32.0,insufficient
400.0,0.5,100.0,3.333e-05,32.0,insufficient
400.0,1.0,100.0,3.333e-05,32.0,failed
400.0,2.0,100.0,3.333e-05,32.0,insufficient
400.0,4.0,100.0,3.333e-05,32.0,insufficient
400.0,8.0,100.0,3.333e-05,32.0,insufficient
400.0,16.0,100.0,3.333e-05,32.0,insufficient
800.0,0.5,100.0,3.333e-05,32.0,insufficient
800.0,1.0,100.0,3.333e-05,32.0,insufficient
800.0,2.0,100.0,3.333e-05,32.0,insufficient
800.0,4.0,100.0,3.333e-05,32.0,insufficient
800.0,8.0,100.0,3.333e-05,32.0,insufficient
800.0,16.0,100.0,3.333e-05,32.0,insufficient
