tau_sat,b,tau_0,gamma_0,n,g0_phi_1,g0_Phi,g0_phi_2,g1_phi_1,g1_Phi,g1_phi_2,g2_phi_1,g2_Phi,g2_phi_2,g3_phi_1,g3_Phi,g3_phi_2,g4_phi_1,g4_Phi,g4_phi_2,g5_phi_1,g5_Phi,g5_phi_2,g6_phi_1,g6_Phi,g6_phi_2,g7_phi_1,g7_Phi,g7_phi_2,g8_phi_1,g8_Phi,g8_phi_2,g9_phi_1,g9_Phi,g9_phi_2,g10_phi_1,g10_Phi,g10_phi_2,g11_phi_1,g11_Phi,g11_phi_2,g12_phi_1,g12_Phi,g12_phi_2,g13_phi_1,g13_Phi,g13_phi_2,g14_phi_1,g14_Phi,g14_phi_2,g15_phi_1,g15_Phi,g15_phi_2,g16_phi_1,g16_Phi,g16_phi_2,g17_phi_1,g17_Phi,g17_phi_2,g18_phi_1,g18_Phi,g18_phi_2,g19_phi_1,g19_Phi,g19_phi_2,g20_phi_1,g20_Phi,g20_phi_2,g21_phi_1,g21_Phi,g21_phi_2,g22_phi_1,g22_Phi,g22_phi_2,g23_phi_1,g23_Phi,g23_phi_2,g24_phi_1,g24_Phi,g24_phi_2,g25_phi_1,g25_Phi,g25_phi_2,g26_phi_1,g26_Phi,g26_phi_2,g27_phi_1,g27_Phi,g27_phi_2,g28_phi_1,g28_Phi,g28_phi_2,g29_phi_1,g29_Phi,g29_phi_2,g30_phi_1,g30_Phi,g30_phi_2,g31_phi_1,g31_Phi,g31_phi_2,g32_phi_1,g32_Phi,g32_phi_2,g33_phi_1,g33_Phi,g33_phi_2,g34_phi_1,g34_Phi,g34_phi_2,g35_phi_1,g35_Phi,g35_phi_2,g36_phi_1,g36_Phi,g36_phi_2,g37_phi_1,g37_Phi,g37_phi_2,g38_phi_1,g38_Phi,g38_phi_2,g39_phi_1,g39_Phi,g39_phi_2,g40_phi_1,g40_Phi,g40_phi_2,g41_phi_1,g41_Phi,g41_phi_2,g42_phi_1,g42_Phi,g42_phi_2,g43_phi_1,g43_Phi,g43_phi_2,g44_phi_1,g44_Phi,g44_phi_2,g45_phi_1,g45_Phi,g45_phi_2,g46_phi_1,g46_Phi,g46_phi_2,g47_phi_1,g47_Phi,g47_phi_2,g48_phi_1,g48_Phi,g48_phi_2,g49_phi_1,g49_Phi,g49_phi_2,g50_phi_1,g50_Phi,g50_phi_2,g51_phi_1,g51_Phi,g51_phi_2,g52_phi_1,g52_Phi,g52_phi_2,g53_phi_1,g53_Phi,g53_phi_2
100.0,0.5,100.0,3.333e-05,1.0,4.867,0.41105,0.82806,5.2975,1.4932,0.97124,4.1303,0.57236,1.6642,5.1661,1.3871,1.1574,4.5769,0.48571,1.8087,4.3369,0.50299,1.7441,5.594,1.4059,1.0769,5.8529,0.33545,0.98262,5.6193,1.2573,0.61642,5.7375,0.62908,6.2208,5.0931,1.3849,1.1478,5.3858,1.0224,3.5781,6.1475,0.26086,0.52519,5.4625,1.316,1.2242,4.3153,0.36936,1.947,5.6886,0.37073,0.79642,4.2751,0.976,2.0796,4.4562,1.1817,2.07,5.6158,0.46696,1.0269,5.3008,1.447,0.99786,3.8292,0.42919,1.9484,6.0875,0.91445,6.2379,4.5378,0.48469,1.8891,5.0444,0.83758,3.5435,5.4261,1.3024,1.1978,5.4517,1.2561,0.98045,5.1679,1.3423,1.2036,5.6622,0.95412,0.93572,5.3443,1.2595,1.0194,5.1956,1.3859,0.52988,4.4309,0.35935,1.7827,5.206,1.438,1.1927,5.8881,0.31095,6.1042,4.7331,1.0491,0.55667,5.849,0.46034,0.84978,4.6263,1.2157,1.9434,4.7417,0.60856,1.9433,6.0073,0.84212,6.0859,5.5819,1.4711,0.98033,5.2102,1.4598,1.1492,5.6068,0.15897,1.0728,5.7748,0.20793,0.71721,4.5213,0.35137,1.9859,5.5532,1.4116,0.21198,4.398,0.64041,1.7902,5.6173,1.3881,1.0519,5.6191,0.74589,1.0458,4.6464,0.98546,1.6561,4.2468,0.89462,1.7717,4.7171,1.1415,0.68695,4.4799,0.57292,1.6494,4.3526,0.51166,1.7294,4.5129,1.2377,0.69137,6.1911,0.42025,0.47232
100.0,0.5,100.0,3.333e-05,2.0,4.9832,0.35211,0.72445,5.2919,1.5042,1.0455,4.1441,0.55736,1.7333,5.1576,1.3706,1.1902,4.5481,0.49068,1.8019,4.364,0.51854,1.7392,5.5988,1.3763,1.0846,5.9885,0.28454,0.82538,5.6867,1.2157,0.62459,5.7063,0.63116,6.2394,5.0824,1.3789,1.1879,5.4663,0.98085,0.35896,6.2465,0.25516,0.44016,5.4672,1.296,1.2103,4.3371,0.40289,1.9182,5.6795,0.36828,0.80547,4.2468,0.94934,2.0229,4.4738,1.2099,1.9839,5.6395,0.43626,0.94399,5.298,1.4431,1.0682,3.7734,0.38954,2.0539,6.0419,0.91489,6.2384,4.4987,0.47998,1.886,5.1053,0.8179,0.29199,5.43,1.2804,1.1908,5.4648,1.2273,1.0171,5.1625,1.3181,1.2243,5.6418,0.97668,0.9158,5.352,1.2339,1.0665,5.1518,1.4118,0.49648,4.4544,0.39338,1.7582,5.1975,1.4155,1.2098,5.81,0.31437,6.1701,4.6809,1.07,0.51562,5.926,0.42791,0.72846,4.649,1.2658,1.8783,4.6864,0.557,1.9287,5.9669,0.85094,6.1133,5.5934,1.4355,1.0234,5.2009,1.4477,1.1777,5.7252,0.14293,0.96934,5.8527,0.20652,0.67503,4.4912,0.32536,2.0032,5.581,1.3946,0.13924,4.4001,0.65256,1.7821,5.6239,1.3594,1.0596,5.5903,0.76472,0.99462,4.6487,0.98051,1.6191,4.2473,0.90225,1.7925,4.6532,1.188,0.6677,4.4926,0.58772,1.6526,4.3782,0.52689,1.7266,4.48,1.2635,0.68572,6.2782,0.4141,0.38611
100.0,0.5,100.0,3.333e-05,4.0,5.0209,0.29218,0.66779,5.2843,1.5086,1.0838,4.2299,0.56497,1.7232,5.1283,1.3418,1.2135,4.4786,0.51528,1.8336,4.4127,0.53817,1.7157,5.5976,1.3347,1.0879,6.1861,0.26508,0.64093,5.7382,1.2054,0.64264,5.6759,0.63198,6.2556,5.0569,1.3612,1.2082,5.524,0.92516,0.28663,0.098622,0.26031,0.32611,5.4766,1.2715,1.1957,4.3254,0.43444,1.9257,5.6622,0.36487,0.82166,4.2324,0.93418,1.9863,4.5056,1.2212,1.8961,5.6256,0.42124,0.92751,5.2745,1.4197,1.1093,3.7216,0.37478,2.1273,6.0124,0.91594,6.2434,4.4165,0.50396,1.9281,5.1801,0.81446,0.20511,5.435,1.2528,1.1843,5.4706,1.1924,1.0274,5.1372,1.281,1.2464,5.6322,0.98718,0.9173,5.3494,1.1907,1.0888,5.1194,1.4295,0.46812,4.4649,0.42307,1.7472,5.1747,1.3947,1.2174,5.7351,0.32245,6.2264,4.6025,1.0686,0.52013,6.0268,0.4255,0.61483,4.6674,1.2941,1.8371,4.6081,0.51775,1.9324,5.9242,0.87426,6.137,5.5852,1.3768,1.0414,5.1853,1.4373,1.1857,5.9464,0.13471,0.7699,5.9313,0.21965,0.62089,4.4796,0.32445,2.0124,5.5743,1.3724,0.09392,4.3991,0.66366,1.7785,5.6266,1.3218,1.0615,5.5361,0.79074,1.0006,4.6546,0.9676,1.5996,4.2457,0.90192,1.7971,4.5879,1.2224,0.67824,4.5094,0.60338,1.6501,4.4234,0.54631,1.7064,4.4647,1.2737,0.69471,0.11408,0.42911,0.28251
100.0,0.5,100.0,3.333e-05,8.0,5.0288,0.272,0.65119,5.2774,1.4997,1.0912,4.2905,0.5793,1.6955,5.104,1.3187,1.2295,4.4142,0.53447,1.8847,4.4308,0.54389,1.7062,5.6057,1.3202,1.0867,6.2395,0.25993,0.59355,5.7534,1.2086,0.63544,5.6572,0.62863,6.2709,5.0411,1.3477,1.2197,5.5356,0.88774,0.26144,0.14327,0.26142,0.29208,5.4931,1.2641,1.1939,4.3028,0.44319,1.9523,5.6428,0.35766,0.83944,4.2239,0.9307,1.9917,4.5298,1.1935,1.8466,5.5972,0.4162,0.95037,5.2643,1.3973,1.1221,3.7306,0.36646,2.1183,6.0012,0.91752,6.2579,4.3472,0.52726,1.9838,5.2016,0.8115,0.18965,5.4464,1.2446,1.1843,5.477,1.1858,1.0252,5.1098,1.2525,1.2665,5.6307,0.99337,0.917,5.3539,1.1803,1.0894,5.1303,1.4267,0.45855,4.4563,0.42746,1.7595,5.1565,1.3781,1.228,5.7007,0.32261,6.2537,4.5486,1.0703,0.53703,6.0437,0.4162,0.5998,4.6838,1.2866,1.8215,4.5568,0.52547,1.9508,5.8939,0.8936,6.1596,5.5898,1.3505,1.0425,5.175,1.4268,1.1937,6.0077,0.13518,0.71863,5.9711,0.22663,0.59181,4.454,0.33146,2.04,5.5749,1.3626,0.093504,4.3953,0.66717,1.7842,5.6353,1.3111,1.0591,5.5226,0.79895,1.0063,4.6548,0.96603,1.5979,4.2426,0.9037,1.7989,4.567,1.2328,0.68565,4.5117,0.60691,1.6507,4.4386,0.55173,1.6989,4.4593,1.2804,0.69734,0.18017,0.43789,0.22964
100.0,0.5,100.0,3.333e-05,16.0,5.024,0.2744,0.6549,5.2723,1.4826,1.0987,4.3068,0.57972,1.6821,5.0929,1.3011,1.2425,4.3914,0.53971,1.9117,4.4372,0.5449,1.7015,5.6158,1.319,1.0836,6.2413,0.25635,0.59518,5.7571,1.2121,0.62649,5.6398,0.62699,0.0043374,5.0294,1.3332,1.2323,5.5296,0.88875,0.27343,0.14123,0.25709,0.299,5.5057,1.2648,1.1943,4.301,0.44122,1.9588,5.6401,0.35267,0.84421,4.2156,0.93016,2.0015,4.5366,1.1696,1.8268,5.5883,0.41173,0.96014,5.2591,1.3727,1.1317,3.7307,0.35999,2.1129,5.9962,0.91923,6.2672,4.3358,0.53098,2.0016,5.2078,0.80518,0.19053,5.4573,1.2449,1.184,5.4833,1.1853,1.0207,5.1195,1.2494,1.27,5.6275,0.99941,0.91666,5.361,1.1787,1.0853,5.147,1.4202,0.44823,4.4527,0.42467,1.7654,5.1532,1.3667,1.2382,5.6693,0.32281,6.282,4.5425,1.0741,0.53317,6.0605,0.40877,0.58917,4.6978,1.2753,1.8039,4.5354,0.53279,1.967,5.8865,0.88642,6.1721,5.6001,1.3476,1.0375,5.1658,1.4123,1.2036,5.9845,0.13468,0.74668,5.9738,0.22091,0.59379,4.4406,0.33665,2.0583,5.5763,1.3551,0.098435,4.3922,0.66963,1.7894,5.6439,1.3103,1.0558,5.5149,0.80289,1.0092,4.6537,0.96665,1.5985,4.2412,0.90622,1.8001,4.5575,1.2391,0.6878,4.5133,0.60841,1.6502,4.4446,0.55281,1.6946,4.4524,1.2867,0.69907,0.18972,0.42941,0.22546
100.0,0.5,100.0,3.333e-05,32.0,4.8672,0.41088,0.82775,5.2974,1.4933,0.97128,4.1304,0.57245,1.6642,5.1661,1.3871,1.1575,4.5769,0.48571,1.8087,4.3369,0.50299,1.7441,5.594,1.4059,1.0769,5.8534,0.33527,0.98218,5.6194,1.2572,0.61652,5.7375,0.62908,6.2208,5.093,1.385,1.1479,5.3858,1.0223,0.43635,6.1475,0.26086,0.52519,5.4625,1.316,1.2242,4.3153,0.36936,1.947,5.6885,0.37078,0.7965,4.2751,0.97589,2.0794,4.4562,1.1817,2.0699,5.6157,0.46704,1.0269,5.3008,1.447,0.99792,3.8291,0.42911,1.9485,6.0875,0.91445,6.2379,4.5378,0.48469,1.8891,5.0447,0.83756,0.40166,5.4261,1.3024,1.1978,5.4518,1.2559,0.98054,5.168,1.3422,1.2037,5.662,0.95421,0.93576,5.3444,1.2593,1.0196,5.1956,1.3859,0.52988,4.4309,0.35935,1.7827,5.206,1.438,1.1927,5.8881,0.31095,6.1042,4.7329,1.0492,0.55679,5.8491,0.4603,0.84964,4.6263,1.2158,1.9433,4.7416,0.60862,1.9432,6.0073,0.84212,6.0859,5.582,1.4708,0.98038,5.2102,1.4599,1.1492,5.6068,0.15897,1.0728,5.775,0.20791,0.71717,4.5213,0.35139,1.9858,5.5532,1.4116,0.21178,4.398,0.64053,1.7902,5.6173,1.3881,1.0519,5.6189,0.74603,1.0458,4.6464,0.98533,1.656,4.2467,0.89461,1.7719,4.7168,1.1416,0.68705,4.4799,0.57292,1.6494,4.3526,0.51166,1.7294,4.5127,1.2378,0.69148,6.1911,0.42025,0.47232
100.0,1.0,100.0,3.333e-05,1.0,4.867,0.41105,0.82806,5.2975,1.4932,0.97124,4.1303,0.57236,1.6642,5.1661,1.3871,1.1574,4.5769,0.48571,1.8087,4.3369,0.50299,1.7441,5.594,1.4059,1.0769,5.8529,0.33545,0.98262,5.6193,1.2573,0.61642,5.7375,0.62908,3.0792,5.0931,1.3849,1.1478,5.3858,1.0224,3.5781,6.1475,0.26086,0.52519,5.4625,1.316,1.2242,4.3153,0.36936,1.947,5.6886,0.37073,0.79642,4.2751,0.976,2.0796,4.4562,1.1817,2.07,5.6158,0.46696,1.0269,5.3008,1.447,0.99786,3.8292,0.42919,1.9484,6.0875,0.91445,6.2379,4.5378,0.48469,1.8891,5.0444,0.83758,0.40194,5.4261,1.3024,1.1978,5.4517,1.2561,0.98045,5.1679,1.3423,1.2036,5.6622,0.95412,0.93572,5.3443,1.2595,1.0194,5.1956,1.3859,0.52988,4.4309,0.35935,1.7827,5.206,1.438,1.1927,5.8881,0.31095,6.1042,4.7331,1.0491,0.55667,5.849,0.46034,0.84978,4.6263,1.2157,1.9434,4.7417,0.60856,1.9433,6.0073,0.84212,6.0859,5.5819,1.4711,0.98033,5.2102,1.4598,1.1492,5.6068,0.15897,1.0728,5.7748,0.20793,0.71721,4.5213,0.35137,1.9859,5.5532,1.4116,0.21198,4.398,0.64041,1.7902,5.6173,1.3881,1.0519,5.6191,0.74589,1.0458,4.6464,0.98546,1.6561,4.2468,0.89462,1.7717,4.7171,1.1415,0.68695,4.4799,0.57292,1.6494,4.3526,0.51166,1.7294,4.5129,1.2377,0.69137,6.1911,0.42025,0.47232
100.0,1.0,100.0,3.333e-05,2.0,4.983,0.35221,0.72452,5.2919,1.5042,1.0454,4.144,0.55736,1.7332,5.1576,1.3706,1.1901,4.5482,0.49075,1.802,4.364,0.51854,1.7393,5.5988,1.3763,1.0846,5.9883,0.28464,0.82564,5.6866,1.2157,0.62453,5.7063,0.63117,6.2394,5.0824,1.3789,1.1878,5.4662,0.98095,0.35906,6.2463,0.25519,0.44043,5.4672,1.296,1.2103,4.3373,0.40293,1.9181,5.6792,0.36835,0.80592,4.2468,0.94938,2.023,4.4737,1.2099,1.984,5.6393,0.43633,0.94431,5.298,1.4431,1.068,3.7735,0.38957,2.0538,6.0419,0.91489,6.2384,4.4988,0.48008,1.886,5.1052,0.81794,0.29215,5.43,1.2804,1.1908,5.4647,1.2273,1.0171,5.1625,1.3181,1.2243,5.6418,0.97663,0.91587,5.352,1.2339,1.0665,5.1519,1.4118,0.49646,4.4545,0.39341,1.7581,5.1975,1.4156,1.2098,5.81,0.31436,6.17,4.681,1.0699,0.51567,5.9258,0.42798,0.72879,4.6489,1.2657,1.8784,4.6865,0.5571,1.9287,5.9669,0.85092,6.1133,5.5934,1.4356,1.0234,5.2009,1.4477,1.1776,5.7249,0.14299,0.96966,5.8521,0.20655,0.67571,4.4914,0.32558,2.0032,5.5809,1.3946,0.13938,4.4001,0.65258,1.7821,5.6239,1.3594,1.0596,5.5904,0.76467,0.99474,4.6486,0.98049,1.6192,4.2472,0.90227,1.7926,4.6533,1.1879,0.66771,4.4926,0.58772,1.6527,4.3782,0.52689,1.7266,4.48,1.2634,0.68575,6.278,0.41413,0.38636
100.0,1.0,100.0,3.333e-05,4.0,5.021,0.29231,0.66762,5.2842,1.5085,1.0836,4.2297,0.56492,1.7232,5.1284,1.3419,1.2133,4.4788,0.51531,1.8337,4.4127,0.53821,1.7158,5.5976,1.3347,1.0879,6.1859,0.26519,0.6411,5.7382,1.2055,0.64248,5.6758,0.632,6.2557,5.0569,1.3614,1.2081,5.5238,0.92536,0.28683,0.098262,0.26037,0.32655,5.4766,1.2715,1.1957,4.3256,0.43445,1.9256,5.6618,0.36491,0.82224,4.2324,0.93418,1.9864,4.5055,1.2211,1.8964,5.6253,0.42133,0.92811,5.2745,1.4198,1.1091,3.7216,0.37479,2.1271,6.0124,0.91594,6.2434,4.4168,0.50399,1.9281,5.18,0.8145,0.20522,5.4349,1.2527,1.1843,5.4706,1.1924,1.0274,5.1372,1.2811,1.2464,5.6323,0.98714,0.91737,5.3494,1.1907,1.0888,5.1197,1.4294,0.46808,4.4649,0.42307,1.7472,5.1748,1.3948,1.2173,5.7352,0.32246,6.2264,4.6027,1.0686,0.52013,6.0258,0.42546,0.61586,4.6674,1.2939,1.8372,4.6082,0.51789,1.9325,5.9242,0.87417,6.137,5.5852,1.3769,1.0414,5.1854,1.4374,1.1856,5.946,0.13483,0.77038,5.9302,0.21966,0.62207,4.4796,0.32473,2.0125,5.5743,1.3724,0.094102,4.3991,0.66371,1.7787,5.6267,1.3218,1.0615,5.5361,0.79064,1.0007,4.6545,0.96757,1.5997,4.2456,0.90195,1.7972,4.588,1.2223,0.67828,4.5094,0.60342,1.6502,4.4234,0.54635,1.7065,4.4647,1.2737,0.69476,0.11367,0.42911,0.28299
100.0,1.0,100.0,3.333e-05,8.0,5.0291,0.27202,0.65086,5.2774,1.4997,1.091,4.2905,0.57922,1.6955,5.1042,1.319,1.2293,4.4142,0.53456,1.885,4.4309,0.54394,1.7062,5.6056,1.3201,1.0867,6.2397,0.26005,0.59328,5.7536,1.2086,0.6353,5.6572,0.62867,6.2709,5.0413,1.3479,1.2195,5.5355,0.88809,0.26162,0.14328,0.2616,0.29219,5.493,1.264,1.194,4.303,0.44317,1.9522,5.6423,0.35772,0.84009,4.224,0.93069,1.9918,4.5297,1.1935,1.8468,5.5968,0.41633,0.95099,5.2644,1.3975,1.1219,3.7305,0.36646,2.1184,6.0012,0.91752,6.2579,4.3478,0.52721,1.9836,5.2016,0.81161,0.18963,5.4463,1.2445,1.1844,5.477,1.1858,1.0252,5.1096,1.2526,1.2665,5.6307,0.9933,0.91707,5.3538,1.1803,1.0895,5.1303,1.4267,0.4585,4.4564,0.42745,1.7595,5.1567,1.3783,1.2278,5.7008,0.32264,6.2535,4.5487,1.0702,0.53702,6.0426,0.41617,0.60097,4.6837,1.2864,1.8217,4.557,0.52565,1.9507,5.8939,0.89355,6.1596,5.5897,1.3504,1.0426,5.1751,1.427,1.1936,6.0082,0.13535,0.71827,5.9697,0.22664,0.5932,4.454,0.33171,2.04,5.5749,1.3626,0.093634,4.3953,0.66722,1.7843,5.6353,1.311,1.0592,5.5226,0.79883,1.0064,4.6548,0.96599,1.598,4.2426,0.90372,1.7989,4.567,1.2327,0.68568,4.5117,0.60696,1.6508,4.4388,0.55178,1.6989,4.4594,1.2804,0.69739,0.17983,0.43806,0.23005
