tau_sat,b,tau_0,gamma_0,n,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30
100.0,0.5,100.0,3.333e-05,1.0,0.3,8.8132e-16,129.2,129.07,131.06,133.35,135.62,137.83,140.01,142.14,144.22,146.27,148.28,150.25,152.18,154.06,155.91,157.73,159.52,161.25,162.97,164.64,166.29,167.9,169.48,171.03,172.55,174.03,175.5,176.91,178.32
100.0,0.5,100.0,3.333e-05,2.0,0.3,-6.6099e-16,210.19,209.23,211.8,214.85,217.89,220.87,223.78,226.62,229.42,232.15,234.83,237.45,240.03,242.55,245.01,247.44,249.8,252.14,254.41,256.64,258.83,260.98,263.08,265.15,267.17,269.16,271.11,273.02,274.9
100.0,0.5,100.0,3.333e-05,3.0,0.3,3.0846e-15,242.48,240.91,243.57,246.82,250.06,253.23,256.34,259.4,262.4,265.35,268.24,271.08,273.87,276.62,279.32,281.97,284.57,287.14,289.66,292.15,294.59,296.99,299.37,301.7,304.0,306.26,308.5,310.7,312.87
100.0,0.5,100.0,3.333e-05,4.0,0.3,-4.8473e-15,258.23,256.36,259.07,262.42,265.77,269.06,272.31,275.49,278.63,281.72,284.76,287.75,290.7,293.62,296.48,299.32,302.1,304.85,307.56,310.25,312.89,315.5,318.07,320.62,323.13,325.6,328.06,330.48,332.87
100.0,0.5,100.0,3.333e-05,5.0,0.3,-1.983e-15,267.05,265.03,267.78,271.22,274.65,278.04,281.38,284.68,287.92,291.13,294.29,297.4,300.48,303.52,306.52,309.48,312.41,315.3,318.16,320.98,323.77,326.53,329.25,331.95,334.61,337.24,339.84,342.41,344.96
100.0,0.5,100.0,3.333e-05,6.0,0.3,2.8643e-15,272.46,270.35,273.14,276.65,280.16,283.63,287.05,290.42,293.75,297.04,300.3,303.5,306.68,309.82,312.92,315.99,319.02,322.02,324.98,327.91,330.81,333.67,336.5,339.3,342.06,344.81,347.51,350.19,352.83
100.0,0.5,100.0,3.333e-05,7.0,0.3,-1.7626e-15,276.0,273.85,276.68,280.23,283.8,287.32,290.8,294.23,297.64,300.99,304.31,307.6,310.85,314.07,317.25,320.39,323.5,326.58,329.62,332.63,335.61,338.54,341.45,344.33,347.17,349.98,352.76,355.52,358.23
100.0,0.5,100.0,3.333e-05,8.0,0.3,-8.8132e-16,278.42,276.25,279.09,282.7,286.3,289.87,293.39,296.88,300.33,303.74,307.12,310.46,313.77,317.05,320.28,323.5,326.67,329.8,332.9,335.97,339.0,342.0,344.97,347.9,350.8,353.68,356.51,359.3,362.08
100.0,0.5,100.0,3.333e-05,9.0,0.3,3.7456e-15,280.14,277.94,280.82,284.45,288.08,291.68,295.25,298.77,302.26,305.72,309.14,312.52,315.88,319.2,322.49,325.74,328.97,332.15,335.3,338.41,341.49,344.54,347.54,350.52,353.47,356.37,359.25,362.09,364.9
100.0,0.5,100.0,3.333e-05,10.0,0.3,-3.0846e-15,281.4,279.17,282.07,285.72,289.38,293.01,296.6,300.16,303.68,307.17,310.62,314.05,317.44,320.81,324.13,327.43,330.67,333.89,337.09,340.23,343.35,346.43,349.48,352.48,355.46,358.4,361.31,364.18,367.02
