tau_sat,b,tau_0,gamma_0,n,reason
25.0,0.05,25.0,3.333e-05,8.0,failed
25.0,0.05,25.0,3.333e-05,16.0,failed
25.0,0.05,25.0,3.333e-05,32.0,failed
25.0,0.05,25.0,3.333e-05,64.0,failed
25.0,0.1,25.0,3.333e-05,8.0,failed
25.0,0.1,25.0,3.333e-05,16.0,failed
25.0,0.1,25.0,3.333e-05,32.0,failed
25.0,0.1,25.0,3.333e-05,64.0,failed
25.0,0.2,25.0,3.333e-05,8.0,failed
25.0,0.2,25.0,3.333e-05,16.0,failed
25.0,0.2,25.0,3.333e-05,32.0,failed
25.0,0.2,25.0,3.333e-05,64.0,failed
25.0,0.4,25.0,3.333e-05,8.0,failed
25.0,0.4,25.0,3.333e-05,16.0,failed
25.0,0.4,25.0,3.333e-05,32.0,failed
25.0,0.4,25.0,3.333e-05,64.0,failed
25.0,0.8,25.0,3.333e-05,8.0,failed
25.0,0.8,25.0,3.333e-05,16.0,failed
25.0,0.8,25.0,3.333e-05,32.0,failed
25.0,0.8,25.0,3.333e-05,64.0,failed
25.0,1.6,25.0,3.333e-05,8.0,failed
25.0,1.6,25.0,3.333e-05,16.0,failed
25.0,1.6,25.0,3.333e-05,32.0,failed
25.0,1.6,25.0,3.333e-05,64.0,failed
25.0,3.2,25.0,3.333e-05,8.0,failed
25.0,3.2,25.0,3.333e-05,16.0,failed
25.0,3.2,25.0,3.333e-05,32.0,failed
25.0,3.2,25.0,3.333e-05,64.0,failed
25.0,6.4,25.0,3.333e-05,8.0,failed
25.0,6.4,25.0,3.333e-05,16.0,failed
25.0,6.4,25.0,3.333e-05,32.0,failed
25.0,6.4,25.0,3.333e-05,64.0,failed
25.0,12.8,25.0,3.333e-05,8.0,failed
25.0,12.8,25.0,3.333e-05,16.0,failed
25.0,12.8,25.0,3.333e-05,32.0,failed
25.0,12.8,25.0,3.333e-05,64.0,failed
25.0,25.6,25.0,3.333e-05,8.0,failed
25.0,25.6,25.0,3.333e-05,16.0,failed
25.0,25.6,25.0,3.333e-05,32.0,failed
25.0,25.6,25.0,3.333e-05,64.0,failed
25.0,51.2,25.0,3.333e-05,8.0,failed
25.0,51.2,25.0,3.333e-05,16.0,failed
25.0,51.2,25.0,3.333e-05,32.0,failed
25.0,51.2,25.0,3.333e-05,64.0,failed
50.0,0.05,25.0,3.333e-05,8.0,failed
50.0,0.05,25.0,3.333e-05,16.0,failed
50.0,0.05,25.0,3.333e-05,32.0,failed
50.0,0.05,25.0,3.333e-05,64.0,failed
50.0,0.1,25.0,3.333e-05,8.0,failed
50.0,0.1,25.0,3.333e-05,16.0,failed
50.0,0.1,25.0,3.333e-05,32.0,failed
50.0,0.1,25.0,3.333e-05,64.0,failed
50.0,0.2,25.0,3.333e-05,8.0,failed
50.0,0.2,25.0,3.333e-05,16.0,failed
50.0,0.2,25.0,3.333e-05,32.0,failed
50.0,0.2,25.0,3.333e-05,64.0,failed
50.0,0.4,25.0,3.333e-05,8.0,failed
50.0,0.4,25.0,3.333e-05,16.0,failed
50.0,0.4,25.0,3.333e-05,32.0,failed
50.0,0.4,25.0,3.333e-05,64.0,failed
50.0,0.8,25.0,3.333e-05,8.0,failed
50.0,0.8,25.0,3.333e-05,16.0,failed
50.0,0.8,25.0,3.333e-05,32.0,failed
50.0,0.8,25.0,3.333e-05,64.0,failed
50.0,1.6,25.0,3.333e-05,8.0,failed
50.0,1.6,25.0,3.333e-05,16.0,failed
50.0,1.6,25.0,3.333e-05,32.0,failed
50.0,1.6,25.0,3.333e-05,64.0,failed
50.0,3.2,25.0,3.333e-05,8.0,failed
50.0,3.2,25.0,3.333e-05,16.0,failed
50.0,3.2,25.0,3.333e-05,32.0,failed
50.0,3.2,25.0,3.333e-05,64.0,failed
50.0,6.4,25.0,3.333e-05,8.0,failed
50.0,6.4,25.0,3.333e-05,16.0,failed
50.0,6.4,25.0,3.333e-05,32.0,failed
50.0,6.4,25.0,3.333e-05,64.0,failed
50.0,12.8,25.0,3.333e-05,8.0,failed
50.0,12.8,25.0,3.333e-05,16.0,failed
50.0,12.8,25.0,3.333e-05,32.0,failed
50.0,12.8,25.0,3.333e-05,64.0,failed
50.0,25.6,25.0,3.333e-05,8.0,failed
50.0,25.6,25.0,3.333e-05,16.0,failed
50.0,25.6,25.0,3.333e-05,32.0,failed
50.0,25.6,25.0,3.333e-05,64.0,failed
50.0,51.2,25.0,3.333e-05,8.0,failed
50.0,51.2,25.0,3.333e-05,16.0,failed
50.0,51.2,25.0,3.333e-05,32.0,failed
50.0,51.2,25.0,3.333e-05,64.0,failed
100.0,0.05,25.0,3.333e-05,8.0,failed
100.0,0.05,25.0,3.333e-05,16.0,failed
100.0,0.05,25.0,3.333e-05,32.0,failed
100.0,0.05,25.0,3.333e-05,64.0,failed
100.0,0.1,25.0,3.333e-05,8.0,failed
100.0,0.1,25.0,3.333e-05,16.0,failed
100.0,0.1,25.0,3.333e-05,32.0,failed
100.0,0.1,25.0,3.333e-05,64.0,failed
100.0,0.2,25.0,3.333e-05,8.0,failed
100.0,0.2,25.0,3.333e-05,16.0,failed
100.0,0.2,25.0,3.333e-05,32.0,failed
100.0,0.2,25.0,3.333e-05,64.0,failed
100.0,0.4,25.0,3.333e-05,8.0,failed
100.0,0.4,25.0,3.333e-05,16.0,failed
100.0,0.4,25.0,3.333e-05,32.0,failed
100.0,0.4,25.0,3.333e-05,64.0,failed
100.0,0.8,25.0,3.333e-05,8.0,failed
100.0,0.8,25.0,3.333e-05,16.0,failed
100.0,0.8,25.0,3.333e-05,32.0,failed
100.0,0.8,25.0,3.333e-05,64.0,failed
100.0,1.6,25.0,3.333e-05,8.0,failed
100.0,1.6,25.0,3.333e-05,16.0,failed
100.0,1.6,25.0,3.333e-05,32.0,failed
100.0,1.6,25.0,3.333e-05,64.0,failed
100.0,3.2,25.0,3.333e-05,8.0,failed
100.0,3.2,25.0,3.333e-05,16.0,failed
100.0,3.2,25.0,3.333e-05,32.0,failed
100.0,3.2,25.0,3.333e-05,64.0,failed
100.0,6.4,25.0,3.333e-05,8.0,failed
100.0,6.4,25.0,3.333e-05,16.0,failed
100.0,6.4,25.0,3.333e-05,32.0,failed
100.0,6.4,25.0,3.333e-05,64.0,failed
100.0,12.8,25.0,3.333e-05,8.0,failed
100.0,12.8,25.0,3.333e-05,16.0,failed
100.0,12.8,25.0,3.333e-05,32.0,failed
100.0,12.8,25.0,3.333e-05,64.0,failed
100.0,25.6,25.0,3.333e-05,8.0,failed
100.0,25.6,25.0,3.333e-05,16.0,failed
100.0,25.6,25.0,3.333e-05,32.0,failed
100.0,25.6,25.0,3.333e-05,64.0,failed
100.0,51.2,25.0,3.333e-05,8.0,failed
100.0,51.2,25.0,3.333e-05,16.0,failed
100.0,51.2,25.0,3.333e-05,32.0,failed
100.0,51.2,25.0,3.333e-05,64.0,failed
200.0,0.05,25.0,3.333e-05,8.0,failed
200.0,0.05,25.0,3.333e-05,16.0,failed
200.0,0.05,25.0,3.333e-05,32.0,failed
200.0,0.05,25.0,3.333e-05,64.0,failed
200.0,0.1,25.0,3.333e-05,8.0,failed
200.0,0.1,25.0,3.333e-05,16.0,failed
200.0,0.1,25.0,3.333e-05,32.0,failed
200.0,0.1,25.0,3.333e-05,64.0,failed
200.0,0.2,25.0,3.333e-05,8.0,failed
200.0,0.2,25.0,3.333e-05,16.0,failed
200.0,0.2,25.0,3.333e-05,32.0,failed
200.0,0.2,25.0,3.333e-05,64.0,failed
200.0,0.4,25.0,3.333e-05,8.0,failed
200.0,0.4,25.0,3.333e-05,16.0,failed
200.0,0.4,25.0,3.333e-05,32.0,failed
200.0,0.4,25.0,3.333e-05,64.0,failed
200.0,0.8,25.0,3.333e-05,8.0,failed
200.0,0.8,25.0,3.333e-05,16.0,failed
200.0,0.8,25.0,3.333e-05,32.0,failed
200.0,0.8,25.0,3.333e-05,64.0,failed
