tau_sat,b,tau_0,gamma_0,n,g1_phi_1_start,g1_phi_1_end,g1_Phi_start,g1_Phi_end,g1_phi_2_start,g1_phi_2_end,g2_phi_1_start,g2_phi_1_end,g2_Phi_start,g2_Phi_end,g2_phi_2_start,g2_phi_2_end,g3_phi_1_start,g3_phi_1_end,g3_Phi_start,g3_Phi_end,g3_phi_2_start,g3_phi_2_end,g4_phi_1_start,g4_phi_1_end,g4_Phi_start,g4_Phi_end,g4_phi_2_start,g4_phi_2_end,g5_phi_1_start,g5_phi_1_end,g5_Phi_start,g5_Phi_end,g5_phi_2_start,g5_phi_2_end
50.0,0.1,50.0,3.333e-05,2.0,5.2975,5.2872,1.4932,1.5073,0.97124,1.0864,4.1303,4.1833,0.57236,0.5569,1.6642,1.7463,5.594,5.6006,1.4059,1.3439,1.0769,1.0826,5.8529,6.1236,0.33545,0.26411,0.98262,0.70031,5.6193,5.7214,1.2573,1.2022,0.61642,0.64197
50.0,0.1,100.0,3.333e-05,2.0,5.2975,5.2872,1.4932,1.5073,0.97124,1.0863,4.1303,4.1832,0.57236,0.55687,1.6642,1.7462,5.594,5.6006,1.4059,1.344,1.0769,1.0826,5.8529,6.1234,0.33545,0.26413,0.98262,0.7005,5.6193,5.7213,1.2573,1.2022,0.61642,0.64197
50.0,0.1,200.0,3.333e-05,2.0,5.2975,5.2873,1.4932,1.5074,0.97124,1.0861,4.1303,4.1831,0.57236,0.5568,1.6642,1.7462,5.594,5.6006,1.4059,1.344,1.0769,1.0825,5.8529,6.1229,0.33545,0.2642,0.98262,0.70096,5.6193,5.7212,1.2573,1.2022,0.61642,0.64189
50.0,0.1,400.0,3.333e-05,2.0,5.2975,5.2873,1.4932,1.5074,0.97124,1.0856,4.1303,4.1827,0.57236,0.55667,1.6642,1.746,5.594,5.6006,1.4059,1.3442,1.0769,1.0824,5.8529,6.1219,0.33545,0.26436,0.98262,0.70196,5.6193,5.721,1.2573,1.2023,0.61642,0.64168
50.0,0.1,800.0,3.333e-05,2.0,5.2975,5.2874,1.4932,1.5076,0.97124,1.0846,4.1303,4.182,0.57236,0.55643,1.6642,1.7458,5.594,5.6006,1.4059,1.3445,1.0769,1.0822,5.8529,6.1198,0.33545,0.2647,0.98262,0.70402,5.6193,5.7206,1.2573,1.2025,0.61642,0.64126
50.0,0.2,50.0,3.333e-05,2.0,5.2975,5.2871,1.4932,1.5073,0.97124,1.0865,4.1303,4.1833,0.57236,0.5569,1.6642,1.7464,5.594,5.6006,1.4059,1.3439,1.0769,1.0827,5.8529,6.1235,0.33545,0.26415,0.98262,0.70036,5.6193,5.7214,1.2573,1.2022,0.61642,0.6419
50.0,0.2,100.0,3.333e-05,2.0,5.2975,5.2872,1.4932,1.5073,0.97124,1.0863,4.1303,4.1832,0.57236,0.55687,1.6642,1.7463,5.594,5.6006,1.4059,1.344,1.0769,1.0826,5.8529,6.1233,0.33545,0.26415,0.98262,0.70054,5.6193,5.7213,1.2573,1.2022,0.61642,0.64193
50.0,0.2,200.0,3.333e-05,2.0,5.2975,5.2873,1.4932,1.5074,0.97124,1.0861,4.1303,4.1831,0.57236,0.5568,1.6642,1.7462,5.594,5.6006,1.4059,1.344,1.0769,1.0825,5.8529,6.1229,0.33545,0.26422,0.98262,0.70099,5.6193,5.7212,1.2573,1.2023,0.61642,0.64186
50.0,0.2,400.0,3.333e-05,2.0,5.2975,5.2873,1.4932,1.5074,0.97124,1.0856,4.1303,4.1827,0.57236,0.55667,1.6642,1.746,5.594,5.6006,1.4059,1.3442,1.0769,1.0824,5.8529,6.1218,0.33545,0.26438,0.98262,0.70199,5.6193,5.721,1.2573,1.2023,0.61642,0.64167
50.0,0.2,800.0,3.333e-05,2.0,5.2975,5.2874,1.4932,1.5076,0.97124,1.0846,4.1303,4.182,0.57236,0.55643,1.6642,1.7458,5.594,5.6006,1.4059,1.3445,1.0769,1.0822,5.8529,6.1197,0.33545,0.26471,0.98262,0.70405,5.6193,5.7206,1.2573,1.2025,0.61642,0.64125
50.0,0.4,50.0,3.333e-05,2.0,5.2975,5.287,1.4932,1.5072,0.97124,1.0865,4.1303,4.1832,0.57236,0.5569,1.6642,1.7464,5.594,5.6007,1.4059,1.3439,1.0769,1.0827,5.8529,6.1234,0.33545,0.2642,0.98262,0.70042,5.6193,5.7214,1.2573,1.2023,0.61642,0.64181
50.0,0.4,100.0,3.333e-05,2.0,5.2975,5.2871,1.4932,1.5073,0.97124,1.0863,4.1303,4.1832,0.57236,0.55687,1.6642,1.7463,5.594,5.6006,1.4059,1.344,1.0769,1.0826,5.8529,6.1233,0.33545,0.26419,0.98262,0.7006,5.6193,5.7213,1.2573,1.2023,0.61642,0.64187
50.0,0.4,200.0,3.333e-05,2.0,5.2975,5.2872,1.4932,1.5073,0.97124,1.086,4.1303,4.183,0.57236,0.5568,1.6642,1.7462,5.594,5.6006,1.4059,1.344,1.0769,1.0825,5.8529,6.1228,0.33545,0.26424,0.98262,0.70104,5.6193,5.7212,1.2573,1.2023,0.61642,0.64182
