tau_sat,b,tau_0,gamma_0,n,g1_phi_1,g1_Phi,g1_phi_2,g2_phi_1,g2_Phi,g2_phi_2,g3_phi_1,g3_Phi,g3_phi_2,g4_phi_1,g4_Phi,g4_phi_2,g5_phi_1,g5_Phi,g5_phi_2,g6_phi_1,g6_Phi,g6_phi_2,g7_phi_1,g7_Phi,g7_phi_2,g8_phi_1,g8_Phi,g8_phi_2,g9_phi_1,g9_Phi,g9_phi_2,g10_phi_1,g10_Phi,g10_phi_2,g11_phi_1,g11_Phi,g11_phi_2,g12_phi_1,g12_Phi,g12_phi_2,g13_phi_1,g13_Phi,g13_phi_2,g14_phi_1,g14_Phi,g14_phi_2,g15_phi_1,g15_Phi,g15_phi_2,g16_phi_1,g16_Phi,g16_phi_2,g17_phi_1,g17_Phi,g17_phi_2,g18_phi_1,g18_Phi,g18_phi_2,g19_phi_1,g19_Phi,g19_phi_2,g20_phi_1,g20_Phi,g20_phi_2,g21_phi_1,g21_Phi,g21_phi_2,g22_phi_1,g22_Phi,g22_phi_2
50.0,0.1,50.0,3.333e-05,1.0,5.2975,1.4932,0.97124,4.1303,0.57236,1.6642,5.594,1.4059,1.0769,5.8529,0.33545,0.98262,5.6193,1.2573,0.61642,5.7375,0.62908,3.0792,6.1475,0.26086,0.52519,4.3153,0.36936,1.947,5.6886,0.37073,0.79642,5.6158,0.46696,1.0269,3.8292,0.42919,1.9484,5.4261,1.3024,1.1978,5.3443,1.2595,1.0194,4.7331,1.0491,0.55667,4.6263,1.2157,1.9434,5.2102,1.4598,1.1492,4.5213,0.35137,1.9859,5.5532,1.4116,0.21198,5.6173,1.3881,1.0519,5.6191,0.74589,1.0458,4.7171,1.1415,0.68695,4.5129,1.2377,0.69137
50.0,0.1,50.0,3.333e-05,2.0,5.2872,1.5073,1.0864,4.1833,0.5569,1.7463,5.6006,1.3439,1.0826,6.1236,0.26411,0.70031,5.7214,1.2022,0.64197,5.675,0.63378,6.254,0.065942,0.25545,0.35789,4.3399,0.4301,1.9108,5.6805,0.36674,0.80556,5.6551,0.41866,0.89725,3.7212,0.37336,2.1293,5.4347,1.2563,1.1796,5.354,1.2006,1.0816,4.636,1.0756,0.50404,4.6622,1.2963,1.8393,5.1868,1.4357,1.1919,4.4932,0.31173,1.9978,5.578,1.3811,0.10025,5.6278,1.3294,1.0566,5.5519,0.7855,0.99173,4.6055,1.2185,0.67069,4.4634,1.2738,0.6935
50.0,0.1,50.0,3.333e-05,4.0,5.2795,1.5196,1.1186,4.2605,0.57224,1.7619,5.5989,1.3119,1.0884,0.090643,0.24979,0.44674,5.794,1.1778,0.6582,5.6626,0.63408,6.2534,0.17254,0.2626,0.26582,4.3406,0.4656,1.8975,5.6345,0.36581,0.84575,5.6096,0.40794,0.90713,3.6209,0.36196,2.2479,5.435,1.2356,1.1746,5.3471,1.1646,1.1181,4.5448,1.0783,0.51887,4.6702,1.3315,1.8076,5.1734,1.4182,1.1971,4.4892,0.30481,1.9995,5.5869,1.3574,0.032555,5.6288,1.2989,1.0628,5.5038,0.80711,0.97497,4.5336,1.2601,0.66975,4.4479,1.2889,0.69505
50.0,0.1,50.0,3.333e-05,8.0,5.2757,1.5401,1.111,4.3041,0.59776,1.7648,5.5869,1.2926,1.0956,0.23568,0.27486,0.30357,5.8378,1.1774,0.66485,5.6673,0.63869,6.2405,0.22292,0.28524,0.22357,4.3231,0.48389,1.9143,5.5667,0.36946,0.90452,5.5427,0.41351,0.9621,3.5968,0.36235,2.2788,5.4246,1.2243,1.1757,5.3223,1.1419,1.1402,4.4955,1.073,0.54725,4.6624,1.3415,1.8184,5.1723,1.4242,1.1891,4.4863,0.31299,1.993,5.5853,1.3326,0.0052141,5.6202,1.2799,1.07,5.4671,0.80839,0.98828,4.5085,1.2786,0.67661,4.4525,1.2973,0.69572
50.0,0.2,50.0,3.333e-05,1.0,5.2975,1.4932,0.97124,4.1303,0.57236,1.6642,5.594,1.4059,1.0769,5.8529,0.33545,0.98262,5.6193,1.2573,0.61642,5.7375,0.62908,6.2208,6.1475,0.26086,0.52519,4.3153,0.36936,1.947,5.6886,0.37073,0.79642,5.6158,0.46696,1.0269,3.8292,0.42919,1.9484,5.4261,1.3024,1.1978,5.3443,1.2595,1.0194,4.7331,1.0491,0.55667,4.6263,1.2157,1.9434,5.2102,1.4598,1.1492,4.5213,0.35137,1.9859,5.5532,1.4116,0.21198,5.6173,1.3881,1.0519,5.6191,0.74589,1.0458,4.7171,1.1415,0.68695,4.5129,1.2377,0.69137
50.0,0.2,50.0,3.333e-05,2.0,5.2871,1.5073,1.0865,4.1833,0.5569,1.7464,5.6006,1.3439,1.0827,6.1235,0.26415,0.70036,5.7214,1.2022,0.6419,5.6749,0.63379,6.2541,0.065748,0.25548,0.35812,4.34,0.43012,1.9108,5.6801,0.36673,0.80605,5.6548,0.41866,0.89755,3.721,0.37331,2.1294,5.4347,1.2563,1.1797,5.354,1.2006,1.0816,4.636,1.0756,0.50407,4.6622,1.2962,1.8392,5.1867,1.4357,1.192,4.4932,0.31188,1.9978,5.578,1.3811,0.10034,5.6278,1.3294,1.0566,5.5519,0.78546,0.99181,4.6055,1.2185,0.67072,4.4634,1.2739,0.69353
50.0,0.2,50.0,3.333e-05,4.0,5.2794,1.5195,1.1187,4.2604,0.57225,1.7621,5.5989,1.3118,1.0885,0.090407,0.2499,0.44699,5.7941,1.1779,0.65808,5.6625,0.63411,6.2536,0.17219,0.26266,0.26624,4.3407,0.46564,1.8976,5.634,0.36581,0.84637,5.6092,0.40794,0.90767,3.6203,0.36189,2.2485,5.435,1.2356,1.1747,5.3471,1.1646,1.1182,4.5448,1.0783,0.51891,4.6704,1.3313,1.8075,5.1733,1.4182,1.1972,4.4891,0.30507,1.9996,5.5869,1.3574,0.032729,5.6289,1.2989,1.0628,5.5038,0.80703,0.97509,4.5336,1.2601,0.6698,4.4479,1.289,0.69507
50.0,0.2,50.0,3.333e-05,8.0,5.2755,1.5401,1.1111,4.304,0.59779,1.7651,5.5869,1.2925,1.0957,0.23533,0.27499,0.30394,5.838,1.1776,0.66472,5.6671,0.63873,6.2407,0.22254,0.28531,0.22402,4.3232,0.48393,1.9144,5.5663,0.36946,0.90508,5.5424,0.41351,0.96257,3.5961,0.36227,2.2795,5.4246,1.2243,1.1758,5.3223,1.1419,1.1403,4.4956,1.0729,0.54729,4.6626,1.3412,1.8182,5.1722,1.4243,1.1892,4.4862,0.31327,1.993,5.5853,1.3325,0.0054308,5.6203,1.2798,1.0701,5.4671,0.80829,0.98843,4.5085,1.2786,0.67664,4.4526,1.2973,0.69573
50.0,0.4,50.0,3.333e-05,1.0,5.2975,1.4932,0.97124,4.1303,0.57236,1.6642,5.594,1.4059,1.0769,5.8529,0.33545,0.98262,5.6193,1.2573,0.61642,5.7375,0.62908,6.2208,6.1475,0.26086,0.52519,4.3153,0.36936,1.947,5.6886,0.37073,0.79642,5.6158,0.46696,1.0269,3.8292,0.42919,1.9484,5.4261,1.3024,1.1978,5.3443,1.2595,1.0194,4.7331,1.0491,0.55667,4.6263,1.2157,1.9434,5.2102,1.4598,1.1492,4.5213,0.35137,1.9859,5.5532,1.4116,0.21198,5.6173,1.3881,1.0519,5.6191,0.74589,1.0458,4.7171,1.1415,0.68695,4.5129,1.2377,0.69137
50.0,0.4,50.0,3.333e-05,2.0,5.287,1.5072,1.0865,4.1832,0.5569,1.7464,5.6007,1.3439,1.0827,6.1234,0.2642,0.70042,5.7214,1.2023,0.64181,5.6749,0.6338,6.2542,0.065534,0.25551,0.35838,4.3401,0.43014,1.9108,5.6796,0.36672,0.80661,5.6545,0.41866,0.89788,3.7209,0.37326,2.1295,5.4347,1.2563,1.1797,5.354,1.2006,1.0816,4.636,1.0755,0.5041,4.6623,1.2961,1.8392,5.1867,1.4358,1.192,4.4932,0.31205,1.9979,5.578,1.3811,0.10043,5.6278,1.3294,1.0566,5.5519,0.78541,0.99189,4.6055,1.2185,0.67077,4.4634,1.2739,0.69356
