tau_sat,b,tau_0,gamma_0,n,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30
50.0,0.1,50.0,3.333e-05,2.0,0.5,-1.7626e-15,104.47,102.49,102.56,102.95,103.34,103.74,104.13,104.52,104.91,105.29,105.68,106.06,106.45,106.83,107.22,107.6,107.98,108.36,108.75,109.13,109.51,109.89,110.27,110.66,111.04,111.43,111.82,112.21,112.6
50.0,0.1,100.0,3.333e-05,2.0,0.5,-1.1016e-15,208.3,203.83,203.4,203.58,203.82,204.05,204.28,204.51,204.74,204.98,205.22,205.46,205.7,205.95,206.2,206.46,206.72,206.98,207.24,207.52,207.79,208.07,208.36,208.65,208.95,209.25,209.55,209.86,210.18
50.0,0.1,200.0,3.333e-05,2.0,0.5,-1.7186e-14,414.66,406.43,405.13,404.94,404.84,404.73,404.64,404.55,404.47,404.41,404.35,404.3,404.26,404.24,404.22,404.22,404.23,404.25,404.28,404.33,404.4,404.47,404.56,404.66,404.78,404.91,405.05,405.2,405.37
50.0,0.1,400.0,3.333e-05,2.0,0.5,-8.8132e-15,812.14,810.9,808.82,807.91,807.13,806.36,805.6,804.88,804.17,803.49,802.82,802.19,801.59,801.0,800.46,799.94,799.44,798.98,798.54,798.14,797.77,797.41,797.1,796.82,796.57,796.34,796.15,795.98,795.86
50.0,0.1,800.0,3.333e-05,2.0,0.5,1.7626e-15,1489.7,1606.6,1615.6,1614.7,1612.8,1610.6,1608.5,1606.4,1604.5,1602.5,1600.6,1598.8,1597.1,1595.4,1593.7,1592.2,1590.6,1589.2,1587.7,1586.4,1585.2,1583.9,1582.8,1581.7,1580.6,1579.7,1578.8,1578.1,1577.3
50.0,0.2,50.0,3.333e-05,2.0,0.5,-1.5423e-15,105.03,103.62,104.25,105.18,106.12,107.03,107.94,108.82,109.7,110.57,111.42,112.27,113.1,113.93,114.73,115.54,116.33,117.12,117.89,118.66,119.42,120.18,120.92,121.66,122.39,123.13,123.84,124.56,125.27
50.0,0.2,100.0,3.333e-05,2.0,0.5,2.2033e-15,208.82,204.92,205.07,205.8,206.56,207.32,208.06,208.79,209.52,210.23,210.95,211.64,212.33,213.02,213.71,214.38,215.05,215.71,216.38,217.03,217.69,218.34,218.99,219.63,220.28,220.92,221.57,222.2,222.84
50.0,0.2,200.0,3.333e-05,2.0,0.5,1.7626e-15,415.13,407.47,406.74,407.1,407.53,407.95,408.37,408.79,409.2,409.62,410.02,410.44,410.85,411.26,411.69,412.1,412.53,412.95,413.38,413.82,414.26,414.7,415.16,415.61,416.08,416.54,417.02,417.51,418.0
50.0,0.2,400.0,3.333e-05,2.0,0.5,-5.2879e-15,812.49,811.82,810.31,809.96,809.72,809.47,809.24,809.01,808.8,808.6,808.41,808.25,808.09,807.96,807.84,807.74,807.66,807.6,807.56,807.55,807.55,807.58,807.63,807.71,807.81,807.93,808.07,808.23,808.42
50.0,0.2,800.0,3.333e-05,2.0,0.5,-2.2914e-14,1489.9,1607.2,1616.9,1616.6,1615.0,1613.5,1611.9,1610.4,1608.9,1607.5,1606.0,1604.8,1603.4,1602.1,1600.9,1599.8,1598.7,1597.6,1596.6,1595.6,1594.8,1593.9,1593.2,1592.5,1591.8,1591.2,1590.6,1590.1,1589.7
50.0,0.4,50.0,3.333e-05,2.0,0.5,0.0,106.13,105.83,107.54,109.49,111.4,113.27,115.08,116.85,118.56,120.23,121.86,123.43,124.98,126.47,127.92,129.35,130.74,132.09,133.41,134.7,135.95,137.18,138.37,139.55,140.69,141.81,142.9,143.97,145.02
50.0,0.4,100.0,3.333e-05,2.0,0.5,-2.644e-15,209.86,207.08,208.29,210.06,211.81,213.52,215.17,216.77,218.34,219.86,221.33,222.77,224.17,225.54,226.87,228.17,229.42,230.66,231.86,233.05,234.2,235.32,236.43,237.5,238.55,239.59,240.6,241.6,242.57
50.0,0.4,200.0,3.333e-05,2.0,0.5,-7.9319e-15,416.05,409.51,409.87,411.26,412.68,414.06,415.39,416.69,417.94,419.16,420.35,421.5,422.63,423.72,424.79,425.83,426.85,427.85,428.83,429.78,430.72,431.64,432.55,433.44,434.31,435.18,436.03,436.88,437.7
50.0,0.4,400.0,3.333e-05,2.0,0.5,-1.5864e-14,813.18,813.65,813.22,813.92,814.68,815.39,816.08,816.74,817.38,818.0,818.59,819.17,819.73,820.28,820.82,821.35,821.87,822.39,822.91,823.41,823.92,824.43,824.94,825.45,825.97,826.49,827.0,827.54,828.07
