tau_sat,b,tau_0,gamma_0,n,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30
100.0,0.5,100.0,3.333e-05,1.0,0.5,-2.5338e-15,131.2,132.27,135.67,139.3,142.85,146.29,149.61,152.82,155.93,158.92,161.83,164.64,167.37,170.0,172.54,175.0,177.38,179.69,181.91,184.07,186.16,188.17,190.12,192.01,193.84,195.6,197.31,198.94,200.54
100.0,0.5,100.0,3.333e-05,2.0,0.5,-2.2033e-15,212.97,213.56,218.0,222.87,227.62,232.2,236.63,240.91,245.06,249.05,252.92,256.67,260.29,263.8,267.19,270.48,273.66,276.74,279.73,282.63,285.44,288.16,290.81,293.38,295.88,298.3,300.66,302.94,305.17
100.0,0.5,100.0,3.333e-05,3.0,0.5,-3.5253e-15,245.36,245.51,250.18,255.38,260.47,265.4,270.19,274.84,279.35,283.75,288.02,292.18,296.22,300.17,304.02,307.77,311.43,315.01,318.51,321.92,325.26,328.53,331.73,334.85,337.92,340.92,343.86,346.75,349.57
100.0,0.5,100.0,3.333e-05,4.0,0.5,6.6099e-16,261.14,261.09,265.9,271.29,276.6,281.77,286.81,291.73,296.53,301.21,305.79,310.27,314.65,318.94,323.14,327.25,331.28,335.23,339.09,342.9,346.61,350.27,353.85,357.36,360.82,364.2,367.52,370.78,373.98
100.0,0.5,100.0,3.333e-05,5.0,0.5,-2.2033e-16,269.97,269.85,274.78,280.33,285.82,291.17,296.42,301.54,306.55,311.47,316.28,321.0,325.63,330.16,334.61,338.98,343.26,347.46,351.58,355.63,359.6,363.5,367.32,371.07,374.76,378.38,381.93,385.41,388.84
100.0,0.5,100.0,3.333e-05,6.0,0.5,2.644e-15,275.41,275.26,280.28,285.97,291.59,297.09,302.48,307.77,312.96,318.04,323.03,327.93,332.72,337.44,342.06,346.61,351.06,355.44,359.73,363.94,368.07,372.13,376.11,380.02,383.86,387.63,391.32,394.96,398.52
100.0,0.5,100.0,3.333e-05,7.0,0.5,-5.0676e-15,278.97,278.82,283.92,289.7,295.42,301.05,306.55,311.96,317.27,322.5,327.61,332.64,337.57,342.41,347.17,351.83,356.42,360.91,365.32,369.64,373.89,378.07,382.15,386.17,390.1,393.97,397.76,401.48,405.14
100.0,0.5,100.0,3.333e-05,8.0,0.5,-4.6269e-15,281.41,281.26,286.42,292.28,298.09,303.79,309.39,314.9,320.31,325.63,330.86,335.98,341.02,345.95,350.81,355.56,360.22,364.81,369.31,373.71,378.04,382.28,386.45,390.53,394.55,398.48,402.34,406.13,409.84
100.0,0.5,100.0,3.333e-05,9.0,0.5,-2.8643e-15,283.13,282.99,288.19,294.12,299.99,305.76,311.43,317.02,322.52,327.92,333.21,338.42,343.53,348.54,353.46,358.29,363.02,367.67,372.23,376.69,381.08,385.39,389.6,393.75,397.8,401.79,405.69,409.53,413.28
100.0,0.5,100.0,3.333e-05,10.0,0.5,-2.2033e-15,284.37,284.24,289.49,295.45,301.37,307.2,312.94,318.59,324.14,329.6,334.96,340.23,345.4,350.47,355.45,360.32,365.11,369.8,374.41,378.93,383.36,387.71,391.97,396.14,400.24,404.25,408.2,412.06,415.85
100.0,0.5,100.0,3.333e-05,11.0,0.5,4.4066e-16,285.0,284.92,290.19,296.21,302.17,308.04,313.83,319.53,325.14,330.67,336.08,341.39,346.62,351.74,356.76,361.68,366.51,371.25,375.9,380.46,384.92,389.31,393.6,397.81,401.94,405.98,409.95,413.84,417.65
100.0,0.5,100.0,3.333e-05,12.0,0.5,-1.322e-15,285.59,285.51,290.81,296.85,302.85,308.77,314.59,320.34,326.0,331.56,337.02,342.38,347.63,352.79,357.85,362.82,367.68,372.45,377.13,381.71,386.22,390.62,394.94,399.16,403.32,407.38,411.36,415.27,419.09
100.0,0.5,100.0,3.333e-05,13.0,0.5,-5.2879e-15,286.1,286.02,291.35,297.4,303.44,309.38,315.23,321.02,326.72,332.31,337.8,343.2,348.49,353.67,358.77,363.76,368.64,373.44,378.14,382.75,387.27,391.69,396.02,400.28,404.44,408.52,412.51,416.42,420.26
100.0,0.5,100.0,3.333e-05,15.0,0.5,-8.8132e-16,286.77,286.7,292.05,298.14,304.22,310.2,316.09,321.94,327.7,333.34,338.9,344.34,349.68,354.91,360.04,365.08,370.01,374.85,379.58,384.22,388.76,393.21,397.58,401.84,406.03,410.11,414.12,418.04,421.89
100.0,0.5,100.0,3.333e-05,16.0,0.5,-6.1692e-15,286.99,286.93,292.28,298.38,304.47,310.47,316.4,322.26,328.04,333.71,339.28,344.74,350.1,355.36,360.5,365.55,370.49,375.35,380.09,384.74,389.3,393.76,398.13,402.4,406.59,410.69,414.69,418.62,422.46
100.0,0.5,100.0,3.333e-05,17.0,0.5,-4.4066e-16,287.15,287.09,292.44,298.56,304.66,310.68,316.62,322.5,328.3,333.99,339.58,345.06,350.43,355.7,360.86,365.93,370.88,375.75,380.5,385.17,389.73,394.2,398.57,402.85,407.05,411.15,415.15,419.07,422.91
100.0,0.5,100.0,3.333e-05,18.0,0.5,-1.1016e-15,287.24,287.2,292.56,298.68,304.78,310.81,316.77,322.67,328.48,334.19,339.8,345.29,350.68,355.97,361.14,366.22,371.18,376.06,380.82,385.49,390.06,394.53,398.91,403.2,407.39,411.5,415.5,419.42,423.25
100.0,0.5,100.0,3.333e-05,19.0,0.5,-2.8643e-15,287.33,287.29,292.64,298.77,304.88,310.93,316.89,322.8,328.64,334.37,339.99,345.49,350.9,356.19,361.38,366.45,371.44,376.32,381.09,385.77,390.34,394.82,399.21,403.49,407.68,411.78,415.78,419.7,423.53
100.0,1.0,100.0,3.333e-05,1.0,0.5,-3.3049e-15,134.78,139.37,145.94,152.44,158.55,164.27,169.63,174.63,179.32,183.72,187.82,191.67,195.27,198.64,201.8,204.75,207.51,210.11,212.53,214.8,216.93,218.91,220.78,222.52,224.15,225.68,227.12,228.46,229.71
100.0,1.0,100.0,3.333e-05,2.0,0.5,-7.2709e-15,217.99,223.71,232.82,241.93,250.5,258.55,266.09,273.17,279.81,286.03,291.88,297.35,302.5,307.31,311.85,316.1,320.09,323.83,327.36,330.67,333.77,336.7,339.44,342.03,344.46,346.75,348.9,350.94,352.85
100.0,1.0,100.0,3.333e-05,3.0,0.5,-2.2033e-16,250.77,256.52,266.3,276.16,285.49,294.29,302.58,310.39,317.77,324.74,331.31,337.54,343.41,348.97,354.24,359.23,363.96,368.45,372.7,376.75,380.59,384.25,387.73,391.05,394.21,397.22,400.1,402.84,405.46
100.0,1.0,100.0,3.333e-05,4.0,0.5,-5.9489e-15,266.68,272.42,282.51,292.76,302.49,311.72,320.46,328.73,336.59,344.04,351.12,357.85,364.25,370.34,376.13,381.64,386.91,391.92,396.71,401.28,405.64,409.82,413.8,417.62,421.26,424.76,428.1,431.32,434.39
100.0,1.0,100.0,3.333e-05,5.0,0.5,-1.983e-15,275.59,281.32,291.62,302.13,312.15,321.67,330.72,339.32,347.53,355.33,362.76,369.85,376.61,383.07,389.23,395.11,400.73,406.1,411.24,416.15,420.85,425.35,429.66,433.78,437.74,441.53,445.17,448.66,452.0
100.0,1.0,100.0,3.333e-05,6.0,0.5,2.2033e-16,281.05,286.81,297.25,307.94,318.17,327.9,337.18,346.03,354.47,362.52,370.22,377.56,384.59,391.3,397.71,403.85,409.72,415.33,420.71,425.85,430.77,435.49,440.01,444.34,448.49,452.47,456.29,459.96,463.48
100.0,1.0,100.0,3.333e-05,7.0,0.5,-4.6269e-15,284.62,290.39,300.96,311.77,322.14,332.04,341.49,350.51,359.13,367.38,375.27,382.81,390.01,396.91,403.51,409.83,415.87,421.65,427.18,432.49,437.58,442.44,447.11,451.58,455.86,459.98,463.93,467.71,471.35
100.0,1.0,100.0,3.333e-05,8.0,0.5,-1.0356e-14,287.07,292.86,303.48,314.41,324.89,334.91,344.47,353.64,362.41,370.79,378.82,386.5,393.85,400.89,407.62,414.07,420.24,426.15,431.81,437.23,442.42,447.4,452.17,456.74,461.12,465.33,469.36,473.23,476.95
100.0,1.0,100.0,3.333e-05,9.0,0.5,-3.0846e-15,288.8,294.59,305.28,316.28,326.84,336.95,346.62,355.88,364.76,373.27,381.4,389.19,396.65,403.79,410.62,417.17,423.44,429.44,435.19,440.7,445.97,451.03,455.88,460.53,464.98,469.25,473.34,477.28,481.05
100.0,1.0,100.0,3.333e-05,10.0,0.5,-4.8473e-15,290.04,295.84,306.57,317.62,328.25,338.42,348.17,357.52,366.49,375.07,383.3,391.18,398.72,405.94,412.85,419.48,425.82,431.9,437.71,443.29,448.63,453.75,458.65,463.36,467.86,472.18,476.33,480.3,484.12
100.0,1.0,100.0,3.333e-05,11.0,0.5,-3.9659e-15,290.43,296.3,307.08,318.19,328.88,339.13,348.96,358.39,367.44,376.1,384.42,392.37,399.99,407.29,414.28,420.98,427.39,433.53,439.42,445.05,450.46,455.63,460.59,465.34,469.89,474.25,478.44,482.45,486.31
100.0,1.0,100.0,3.333e-05,12.0,0.5,0.0,290.89,296.78,307.6,318.74,329.49,339.78,349.66,359.16,368.27,377.0,385.38,393.39,401.07,408.44,415.48,422.23,428.69,434.89,440.82,446.5,451.95,457.17,462.15,466.95,471.53,475.93,480.14,484.18,488.06
100.0,1.0,100.0,3.333e-05,13.0,0.5,-1.322e-15,291.37,297.26,308.1,319.28,330.05,340.38,350.3,359.84,369.01,377.79,386.21,394.28,401.99,409.4,416.49,423.28,429.78,436.01,441.99,447.7,453.17,458.43,463.44,468.26,472.87,477.28,481.52,485.56,489.46
100.0,1.0,100.0,3.333e-05,15.0,0.5,1.7626e-15,292.0,297.9,308.75,319.95,330.78,341.16,351.14,360.75,369.99,378.85,387.34,395.47,403.27,410.75,417.9,424.75,431.31,437.6,443.63,449.39,454.91,460.2,465.26,470.12,474.76,479.2,483.46,487.53,491.44
100.0,1.0,100.0,3.333e-05,16.0,0.5,2.2033e-15,292.22,298.11,308.96,320.18,331.01,341.42,351.41,361.06,370.33,379.21,387.73,395.9,403.72,411.22,418.4,425.27,431.86,438.17,444.22,450.0,455.54,460.84,465.92,470.78,475.43,479.88,484.15,488.23,492.14
100.0,1.0,100.0,3.333e-05,17.0,0.5,-6.3896e-15,292.35,298.24,309.1,320.32,331.17,341.59,351.61,361.28,370.57,379.48,388.03,396.22,404.06,411.59,418.79,425.68,432.3,438.62,444.68,450.48,456.03,461.35,466.45,471.31,475.97,480.43,484.7,488.78,492.69
100.0,1.0,100.0,3.333e-05,18.0,0.5,-4.6269e-15,292.42,298.32,309.18,320.41,331.27,341.7,351.73,361.42,370.74,379.67,388.24,396.45,404.32,411.86,419.08,426.0,432.62,438.96,445.04,450.85,456.42,461.75,466.85,471.73,476.39,480.86,485.13,489.21,493.12
100.0,1.0,100.0,3.333e-05,19.0,0.5,-4.4066e-16,292.49,298.39,309.25,320.48,331.34,341.79,351.84,361.54,370.88,379.83,388.42,396.65,404.53,412.09,419.32,426.26,432.89,439.25,445.34,451.17,456.75,462.08,467.18,472.08,476.74,481.21,485.48,489.56,493.47
100.0,2.0,100.0,3.333e-05,1.0,0.5,2.2033e-16,141.48,152.12,163.55,173.9,183.01,191.0,198.0,204.16,209.55,214.29,218.44,222.09,225.29,228.1,230.48,234.18,236.1,237.78,239.26,240.55,241.69,242.68,243.57,244.33,245.01,245.6,246.13,246.59,246.99
100.0,2.0,100.0,3.333e-05,2.0,0.5,-1.322e-15,227.52,242.2,258.7,273.82,287.26,299.14,309.66,318.95,327.16,334.42,340.83,346.48,351.46,355.86,359.73,363.13,366.12,368.76,371.06,373.09,374.86,376.41,377.77,378.96,379.99,380.89,381.68,382.35,382.95
100.0,2.0,100.0,3.333e-05,3.0,0.5,-2.8643e-15,261.07,276.67,294.65,311.31,326.22,339.52,351.37,361.94,371.38,379.79,387.3,394.0,400.0,405.35,410.12,414.4,418.23,421.67,424.74,427.51,429.99,432.23,434.25,436.08,437.73,439.24,440.6,441.85,443.0
100.0,2.0,100.0,3.333e-05,4.0,0.5,-6.6099e-16,277.27,293.2,311.87,329.28,344.94,359.01,371.64,382.98,393.17,402.35,410.59,418.02,424.72,430.75,436.21,441.13,445.58,449.62,453.28,456.6,459.63,462.39,464.89,467.2,469.31,471.25,473.03,474.67,476.2
100.0,2.0,100.0,3.333e-05,5.0,0.5,-8.8132e-16,286.3,302.41,321.47,339.35,355.5,370.07,383.21,395.08,405.8,415.5,424.26,432.2,439.38,445.91,451.82,457.19,462.08,466.52,470.58,474.28,477.66,480.76,483.59,486.21,488.6,490.81,492.85,494.74,496.5
100.0,2.0,100.0,3.333e-05,6.0,0.5,-1.1016e-15,291.83,308.05,327.38,345.56,362.04,376.96,390.47,402.71,413.8,423.87,433.01,441.3,448.85,455.71,461.95,467.63,472.82,477.56,481.89,485.84,489.46,492.78,495.84,498.65,501.23,503.62,505.83,507.88,509.78
100.0,2.0,100.0,3.333e-05,7.0,0.5,2.4236e-15,295.43,311.73,331.24,349.63,366.35,381.52,395.29,407.8,419.17,429.51,438.92,447.48,455.29,462.39,468.88,474.79,480.19,485.12,489.65,493.78,497.58,501.07,504.27,507.22,509.94,512.45,514.77,516.94,518.94
100.0,2.0,100.0,3.333e-05,8.0,0.5,-8.8132e-16,297.9,314.25,333.87,352.41,369.29,384.65,398.61,411.33,422.91,433.47,443.09,451.85,459.84,467.14,473.79,479.88,485.44,490.54,495.19,499.47,503.38,506.99,510.3,513.36,516.17,518.77,521.18,523.42,525.49
100.0,2.0,100.0,3.333e-05,9.0,0.5,6.6099e-16,299.63,316.01,335.72,354.37,371.38,386.87,400.99,413.87,425.61,436.33,446.1,455.02,463.17,470.6,477.4,483.61,489.3,494.51,499.28,503.65,507.66,511.36,514.75,517.89,520.78,523.44,525.91,528.19,530.33
100.0,2.0,100.0,3.333e-05,10.0,0.5,-4.6269e-15,300.86,317.25,337.02,355.75,372.86,388.46,402.7,415.7,427.58,438.42,448.32,457.37,465.62,473.18,480.08,486.39,492.18,497.48,502.34,506.79,510.88,514.65,518.11,521.3,524.24,526.96,529.47,531.8,533.96
100.0,2.0,100.0,3.333e-05,11.0,0.5,-4.6269e-15,300.82,317.35,337.23,356.08,373.32,389.06,403.43,416.58,428.6,439.59,449.63,458.8,467.19,474.85,481.87,488.29,494.17,499.56,504.5,509.04,513.2,517.03,520.55,523.8,526.79,529.55,532.11,534.48,536.67
100.0,2.0,100.0,3.333e-05,12.0,0.5,-3.9659e-15,301.05,317.63,337.58,356.51,373.84,389.67,404.15,417.4,429.52,440.6,450.75,460.02,468.5,476.25,483.35,489.84,495.8,501.25,506.26,510.86,515.08,518.95,522.52,525.81,528.84,531.63,534.21,536.6,538.82
100.0,2.0,100.0,3.333e-05,13.0,0.5,-4.1863e-15,301.48,318.07,338.05,357.02,374.4,390.28,404.82,418.14,430.35,441.5,451.72,461.05,469.59,477.42,484.57,491.13,497.14,502.65,507.71,512.34,516.6,520.51,524.12,527.43,530.49,533.3,535.9,538.31,540.54
100.0,2.0,100.0,3.333e-05,15.0,0.5,-3.3049e-15,302.05,318.63,338.63,357.66,375.1,391.07,405.69,419.13,431.43,442.71,453.03,462.48,471.13,479.05,486.31,492.95,499.05,504.64,509.76,514.46,518.78,522.75,526.4,529.76,532.85,535.7,538.32,540.76,542.99
100.0,2.0,100.0,3.333e-05,16.0,0.5,-2.2033e-15,302.24,318.81,338.81,357.84,375.32,391.32,405.97,419.45,431.81,443.13,453.49,462.98,471.67,479.63,486.92,493.6,499.74,505.35,510.5,515.23,519.57,523.56,527.23,530.6,533.71,536.57,539.2,541.62,543.88
100.0,2.0,100.0,3.333e-05,17.0,0.5,-3.9659e-15,302.34,318.91,338.92,357.96,375.45,391.47,406.16,419.67,432.07,443.43,453.84,463.36,472.1,480.08,487.41,494.13,500.28,505.93,511.1,515.85,520.21,524.23,527.91,531.29,534.41,537.28,539.91,542.35,544.59
100.0,2.0,100.0,3.333e-05,18.0,0.5,1.322e-15,302.38,318.96,338.96,358.01,375.52,391.56,406.28,419.81,432.25,443.65,454.09,463.66,472.41,480.44,487.79,494.53,500.71,506.38,511.58,516.35,520.73,524.75,528.45,531.84,534.96,537.84,540.48,542.92,545.16
100.0,2.0,100.0,3.333e-05,19.0,0.5,-1.7626e-15,302.4,318.98,338.99,358.04,375.56,391.62,406.36,419.92,432.39,443.82,454.29,463.88,472.67,480.72,488.1,494.86,501.07,506.75,511.97,516.76,521.15,525.19,528.89,532.29,535.42,538.31,540.94,543.39,545.62
100.0,4.0,100.0,3.333e-05,1.0,0.5,-2.8643e-15,153.45,172.86,189.68,202.96,213.26,221.21,227.36,232.12,235.79,238.62,240.82,242.53,243.85,244.86,245.65,246.26,246.74,247.11,247.4,247.62,247.79,248.2,248.42,248.51,248.56,248.61,248.66,248.68,248.71
100.0,4.0,100.0,3.333e-05,2.0,0.5,-2.4236e-15,244.71,273.01,298.47,319.09,335.41,348.27,358.4,366.34,372.54,377.37,381.11,383.99,386.18,387.83,389.06,389.95,390.56,390.98,391.24,391.36,391.39,391.34,391.25,391.1,390.93,390.74,390.53,390.31,390.11
100.0,4.0,100.0,3.333e-05,3.0,0.5,-5.2879e-15,279.78,310.61,338.96,362.26,380.98,395.96,407.92,417.46,425.05,431.07,435.85,439.61,442.59,444.92,446.73,448.15,449.26,450.1,450.76,451.25,451.64,451.94,452.17,452.34,452.5,452.62,452.72,452.83,452.93
100.0,4.0,100.0,3.333e-05,4.0,0.5,-2.8643e-15,296.57,328.44,358.14,382.8,402.81,418.99,432.07,442.63,451.15,458.03,463.58,468.05,471.66,474.58,476.94,478.85,480.41,481.68,482.73,483.6,484.33,484.96,485.5,485.98,486.4,486.8,487.17,487.51,487.86
100.0,4.0,100.0,3.333e-05,5.0,0.5,-4.1863e-15,305.87,338.29,368.77,394.25,415.07,432.04,445.87,457.14,466.32,473.81,479.92,484.91,489.01,492.36,495.12,497.4,499.29,500.88,502.22,503.35,504.33,505.18,505.93,506.6,507.21,507.78,508.31,508.81,509.29
100.0,4.0,100.0,3.333e-05,6.0,0.5,0.0,311.55,344.29,375.26,401.28,422.66,440.17,454.53,466.3,475.96,483.9,490.42,495.8,500.24,503.92,506.97,509.52,511.66,513.46,515.0,516.32,517.47,518.47,519.36,520.17,520.89,521.57,522.2,522.79,523.37
100.0,4.0,100.0,3.333e-05,7.0,0.5,-4.8473e-15,315.24,348.19,379.48,405.88,427.64,445.54,460.29,472.43,482.45,490.72,497.56,503.23,507.93,511.85,515.11,517.86,520.18,522.15,523.83,525.29,526.55,527.67,528.67,529.55,530.37,531.12,531.82,532.47,533.11
100.0,4.0,100.0,3.333e-05,8.0,0.5,-6.6099e-15,317.75,350.82,382.34,409.0,431.04,449.24,464.28,476.71,487.0,495.53,502.61,508.5,513.4,517.5,520.94,523.84,526.29,528.38,530.18,531.73,533.09,534.29,535.35,536.31,537.18,537.98,538.73,539.44,540.1
100.0,4.0,100.0,3.333e-05,9.0,0.5,-3.0846e-15,319.51,352.66,384.34,411.19,433.45,451.86,467.13,479.78,490.29,499.03,506.3,512.35,517.41,521.66,525.23,528.25,530.81,533.0,534.88,536.51,537.93,539.19,540.31,541.32,542.23,543.08,543.86,544.6,545.29
100.0,4.0,100.0,3.333e-05,10.0,0.5,-9.0335e-15,320.73,353.93,385.72,412.72,435.14,453.74,469.17,482.01,492.7,501.6,509.02,515.23,520.42,524.78,528.46,531.57,534.22,536.48,538.44,540.13,541.61,542.91,544.07,545.12,546.06,546.94,547.75,548.49,549.21
