tau_sat,b,tau_0,gamma_0,n,reason
1.0,0.1,50.0,3.333e-05,16.0,failed
500.0,0.1,50.0,3.333e-05,16.0,failed
1000.0,0.1,50.0,3.333e-05,16.0,failed
1500.0,0.1,50.0,3.333e-05,16.0,failed
2000.0,0.1,50.0,3.333e-05,16.0,failed
1.0,1.0,50.0,3.333e-05,16.0,failed
500.0,1.0,50.0,3.333e-05,8.0,failed
500.0,1.0,50.0,3.333e-05,16.0,failed
1000.0,1.0,50.0,3.333e-05,16.0,failed
1500.0,1.0,50.0,3.333e-05,16.0,failed
2000.0,1.0,50.0,3.333e-05,16.0,failed
1000.0,1.0,100.0,3.333e-05,16.0,failed
1.0,10.0,50.0,3.333e-05,16.0,failed
500.0,10.0,50.0,3.333e-05,16.0,failed
1000.0,10.0,50.0,3.333e-05,1.0,failed
1000.0,10.0,50.0,3.333e-05,16.0,failed
1500.0,10.0,50.0,3.333e-05,1.0,failed
1500.0,10.0,50.0,3.333e-05,16.0,failed
2000.0,10.0,50.0,3.333e-05,1.0,failed
2000.0,10.0,50.0,3.333e-05,16.0,failed
2000.0,10.0,100.0,3.333e-05,16.0,failed
1.0,100.0,50.0,3.333e-05,16.0,failed
500.0,100.0,50.0,3.333e-05,1.0,failed
500.0,100.0,50.0,3.333e-05,16.0,failed
1000.0,100.0,50.0,3.333e-05,1.0,failed
1000.0,100.0,50.0,3.333e-05,16.0,failed
1500.0,100.0,50.0,3.333e-05,1.0,failed
1500.0,100.0,50.0,3.333e-05,16.0,failed
2000.0,100.0,50.0,3.333e-05,16.0,failed
500.0,100.0,100.0,3.333e-05,1.0,failed
1000.0,100.0,100.0,3.333e-05,1.0,failed
1500.0,100.0,100.0,3.333e-05,1.0,timeout
2000.0,100.0,100.0,3.333e-05,1.0,failed
2000.0,100.0,100.0,3.333e-05,16.0,failed
1500.0,100.0,200.0,3.333e-05,1.0,failed
