tau_sat,b,tau_0,gamma_0,n,cd,beta,phi,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10
1.0,0.1,50.0,3.333e-05,1.0,200.0,5.0,1,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657
1.0,0.1,50.0,3.333e-05,1.0,200.0,5.0,2,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053
1.0,0.1,50.0,3.333e-05,1.0,200.0,5.0,3,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276
1.0,0.1,50.0,3.333e-05,1.0,400.0,5.0,1,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657
1.0,0.1,50.0,3.333e-05,1.0,400.0,5.0,2,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053
1.0,0.1,50.0,3.333e-05,1.0,400.0,5.0,3,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276
1.0,0.1,50.0,3.333e-05,1.0,600.0,5.0,1,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657
1.0,0.1,50.0,3.333e-05,1.0,600.0,5.0,2,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053
1.0,0.1,50.0,3.333e-05,1.0,600.0,5.0,3,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276
1.0,0.1,50.0,3.333e-05,1.0,800.0,5.0,1,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657
1.0,0.1,50.0,3.333e-05,1.0,800.0,5.0,2,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053
1.0,0.1,50.0,3.333e-05,1.0,800.0,5.0,3,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276
1.0,0.1,50.0,3.333e-05,1.0,1000.0,5.0,1,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657
1.0,0.1,50.0,3.333e-05,1.0,1000.0,5.0,2,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053
1.0,0.1,50.0,3.333e-05,1.0,1000.0,5.0,3,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276
1.0,0.1,50.0,3.333e-05,2.0,200.0,5.0,1,5.9701,5.9278,5.8945,5.8587,5.8219,5.7926,5.7808,5.7922,5.8222,5.8507
1.0,0.1,50.0,3.333e-05,2.0,200.0,5.0,2,2.054,2.0492,2.0462,2.0422,2.0375,2.0342,2.035,2.0411,2.0511,2.0591
1.0,0.1,50.0,3.333e-05,2.0,200.0,5.0,3,2.1295,2.1142,2.1033,2.0917,2.0799,2.0716,2.0711,2.0807,2.0981,2.1133
1.0,0.1,50.0,3.333e-05,2.0,400.0,5.0,1,5.9659,5.9297,5.8932,5.8573,5.8227,5.79,5.7598,5.7325,5.7085,5.6884
1.0,0.1,50.0,3.333e-05,2.0,400.0,5.0,2,2.053,2.0497,2.0459,2.0419,2.0377,2.0334,2.0292,2.0252,2.0216,2.0186
1.0,0.1,50.0,3.333e-05,2.0,400.0,5.0,3,2.1277,2.1151,2.1028,2.0911,2.0803,2.0703,2.0614,2.0536,2.047,2.0418
1.0,0.1,50.0,3.333e-05,2.0,600.0,5.0,1,5.9659,5.9297,5.8932,5.8573,5.8227,5.7899,5.7596,5.732,5.7074,5.6858
1.0,0.1,50.0,3.333e-05,2.0,600.0,5.0,2,2.053,2.0496,2.0459,2.0419,2.0377,2.0334,2.0292,2.0251,2.0213,2.0178
1.0,0.1,50.0,3.333e-05,2.0,600.0,5.0,3,2.1277,2.1151,2.1028,2.0911,2.0803,2.0703,2.0613,2.0534,2.0465,2.0406
1.0,0.1,50.0,3.333e-05,2.0,800.0,5.0,1,5.9659,5.9297,5.8932,5.8573,5.8227,5.7899,5.7596,5.732,5.7073,5.6856
1.0,0.1,50.0,3.333e-05,2.0,800.0,5.0,2,2.053,2.0496,2.0459,2.0419,2.0377,2.0334,2.0292,2.0251,2.0213,2.0178
1.0,0.1,50.0,3.333e-05,2.0,800.0,5.0,3,2.1277,2.1151,2.1028,2.0911,2.0803,2.0703,2.0613,2.0534,2.0465,2.0406
1.0,0.1,50.0,3.333e-05,2.0,1000.0,5.0,1,5.9659,5.9297,5.8932,5.8573,5.8227,5.7899,5.7596,5.732,5.7073,5.6856
1.0,0.1,50.0,3.333e-05,2.0,1000.0,5.0,2,2.053,2.0496,2.0459,2.0419,2.0377,2.0334,2.0292,2.0251,2.0213,2.0178
1.0,0.1,50.0,3.333e-05,2.0,1000.0,5.0,3,2.1277,2.1151,2.1028,2.0911,2.0803,2.0703,2.0613,2.0534,2.0465,2.0406
1.0,0.1,50.0,3.333e-05,3.0,200.0,5.0,1,5.9683,5.9054,5.848,5.7944,5.7477,5.7135,5.6983,5.707,5.7412,5.7969
1.0,0.1,50.0,3.333e-05,3.0,200.0,5.0,2,2.0537,2.0475,2.0419,2.0356,2.0293,2.0252,2.0256,2.0323,2.0453,2.0619
1.0,0.1,50.0,3.333e-05,3.0,200.0,5.0,3,2.1289,2.1017,2.0795,2.0606,2.0455,2.036,2.0345,2.043,2.0624,2.0912
1.0,0.1,50.0,3.333e-05,3.0,400.0,5.0,1,5.9658,5.9064,5.8473,5.7933,5.7472,5.7095,5.6798,5.6569,5.6393,5.6263
1.0,0.1,50.0,3.333e-05,3.0,400.0,5.0,2,2.0529,2.0479,2.0417,2.0353,2.0292,2.024,2.0198,2.0168,2.0147,2.0134
1.0,0.1,50.0,3.333e-05,3.0,400.0,5.0,3,2.1278,2.1022,2.0792,2.0601,2.0452,2.0343,2.0265,2.021,2.0174,2.0154
1.0,0.1,50.0,3.333e-05,3.0,600.0,5.0,1,5.9658,5.9064,5.8473,5.7933,5.7472,5.7095,5.6797,5.6565,5.6385,5.6246
1.0,0.1,50.0,3.333e-05,3.0,600.0,5.0,2,2.0529,2.0479,2.0417,2.0353,2.0292,2.024,2.0198,2.0167,2.0145,2.0129
1.0,0.1,50.0,3.333e-05,3.0,600.0,5.0,3,2.1278,2.1022,2.0792,2.0601,2.0452,2.0342,2.0264,2.0209,2.017,2.0148
1.0,0.1,50.0,3.333e-05,3.0,800.0,5.0,1,5.9658,5.9064,5.8473,5.7933,5.7472,5.7095,5.6797,5.6565,5.6384,5.6245
1.0,0.1,50.0,3.333e-05,3.0,800.0,5.0,2,2.0529,2.0479,2.0417,2.0353,2.0292,2.024,2.0198,2.0167,2.0144,2.0129
1.0,0.1,50.0,3.333e-05,3.0,800.0,5.0,3,2.1278,2.1022,2.0792,2.0601,2.0452,2.0342,2.0264,2.0209,2.017,2.0147
1.0,0.1,50.0,3.333e-05,3.0,1000.0,5.0,1,5.9658,5.9064,5.8473,5.7933,5.7472,5.7095,5.6797,5.6564,5.6384,5.6245
1.0,0.1,50.0,3.333e-05,3.0,1000.0,5.0,2,2.0529,2.0479,2.0417,2.0353,2.0292,2.024,2.0198,2.0166,2.0144,2.0128
1.0,0.1,50.0,3.333e-05,3.0,1000.0,5.0,3,2.1278,2.1022,2.0792,2.0601,2.0452,2.0342,2.0264,2.0209,2.017,2.0147
1.0,0.1,50.0,3.333e-05,4.0,200.0,5.0,1,5.968,5.8917,5.823,5.7653,5.7204,5.6898,5.6752,5.6794,5.7069,5.7652
1.0,0.1,50.0,3.333e-05,4.0,200.0,5.0,2,2.0534,2.0476,2.0412,2.0347,2.0292,2.026,2.0266,2.0324,2.0444,2.0631
1.0,0.1,50.0,3.333e-05,4.0,200.0,5.0,3,2.129,2.0928,2.0649,2.0443,2.0305,2.0229,2.0219,2.0285,2.0452,2.0756
1.0,0.1,50.0,3.333e-05,4.0,400.0,5.0,1,5.9669,5.8922,5.8228,5.7647,5.7197,5.6861,5.6611,5.6416,5.6263,5.6166
1.0,0.1,50.0,3.333e-05,4.0,400.0,5.0,2,2.0529,2.0478,2.0411,2.0345,2.029,2.0248,2.0219,2.02,2.0188,2.0183
1.0,0.1,50.0,3.333e-05,4.0,400.0,5.0,3,2.1285,2.093,2.0647,2.0441,2.0301,2.0213,2.0158,2.012,2.0095,2.0091
1.0,0.1,50.0,3.333e-05,4.0,600.0,5.0,1,5.9669,5.8922,5.8228,5.7647,5.7197,5.6861,5.661,5.6413,5.6256,5.6153
1.0,0.1,50.0,3.333e-05,4.0,600.0,5.0,2,2.0529,2.0478,2.0411,2.0345,2.029,2.0248,2.0219,2.0199,2.0186,2.0179
1.0,0.1,50.0,3.333e-05,4.0,600.0,5.0,3,2.1285,2.093,2.0647,2.0441,2.0301,2.0213,2.0157,2.0119,2.0092,2.0086
1.0,0.1,50.0,3.333e-05,4.0,800.0,5.0,1,5.9669,5.8922,5.8228,5.7647,5.7196,5.6861,5.661,5.6413,5.6256,5.6153
1.0,0.1,50.0,3.333e-05,4.0,800.0,5.0,2,2.0529,2.0478,2.0411,2.0345,2.029,2.0248,2.0219,2.0199,2.0185,2.0178
1.0,0.1,50.0,3.333e-05,4.0,800.0,5.0,3,2.1285,2.093,2.0647,2.0441,2.0301,2.0213,2.0157,2.0119,2.0092,2.0085
1.0,0.1,50.0,3.333e-05,4.0,1000.0,5.0,1,5.9669,5.8922,5.8228,5.7647,5.7196,5.6861,5.661,5.6413,5.6256,5.6153
1.0,0.1,50.0,3.333e-05,4.0,1000.0,5.0,2,2.0529,2.0478,2.0411,2.0345,2.029,2.0248,2.0219,2.0199,2.0185,2.0178
1.0,0.1,50.0,3.333e-05,4.0,1000.0,5.0,3,2.1285,2.093,2.0647,2.0441,2.0301,2.0213,2.0157,2.0118,2.0092,2.0085
1.0,0.1,50.0,3.333e-05,5.0,200.0,5.0,1,5.969,5.8842,5.812,5.7545,5.7116,5.6827,5.6681,5.6699,5.6934,5.7487
1.0,0.1,50.0,3.333e-05,5.0,200.0,5.0,2,2.0532,2.0479,2.0417,2.0358,2.031,2.0284,2.0292,2.0345,2.0458,2.0644
1.0,0.1,50.0,3.333e-05,5.0,200.0,5.0,3,2.1296,2.0873,2.0571,2.0367,2.0239,2.0174,2.0165,2.0223,2.0374,2.0665
1.0,0.1,50.0,3.333e-05,5.0,400.0,5.0,1,5.9682,5.8845,5.8118,5.7539,5.7107,5.6792,5.6558,5.6372,5.6222,5.6134
1.0,0.1,50.0,3.333e-05,5.0,400.0,5.0,2,2.0529,2.0481,2.0417,2.0356,2.0308,2.0274,2.0251,2.0236,2.0227,2.0224
1.0,0.1,50.0,3.333e-05,5.0,400.0,5.0,3,2.1293,2.0874,2.057,2.0365,2.0236,2.0159,2.0112,2.0079,2.0057,2.0056
1.0,0.1,50.0,3.333e-05,5.0,600.0,5.0,1,5.9682,5.8845,5.8118,5.7539,5.7106,5.6791,5.6556,5.6368,5.6215,5.6121
1.0,0.1,50.0,3.333e-05,5.0,600.0,5.0,2,2.0529,2.0481,2.0417,2.0356,2.0308,2.0274,2.0251,2.0235,2.0225,2.022
1.0,0.1,50.0,3.333e-05,5.0,600.0,5.0,3,2.1293,2.0874,2.057,2.0365,2.0236,2.0158,2.0111,2.0078,2.0054,2.0051
1.0,0.1,50.0,3.333e-05,5.0,800.0,5.0,1,5.9682,5.8845,5.8118,5.7539,5.7106,5.6791,5.6556,5.6368,5.6215,5.6121
1.0,0.1,50.0,3.333e-05,5.0,800.0,5.0,2,2.0529,2.0481,2.0417,2.0356,2.0308,2.0274,2.0251,2.0235,2.0224,2.0219
1.0,0.1,50.0,3.333e-05,5.0,800.0,5.0,3,2.1293,2.0874,2.057,2.0365,2.0236,2.0158,2.0111,2.0078,2.0054,2.005
1.0,0.1,50.0,3.333e-05,5.0,1000.0,5.0,1,5.9682,5.8845,5.8118,5.7539,5.7106,5.6791,5.6556,5.6368,5.6215,5.6121
1.0,0.1,50.0,3.333e-05,5.0,1000.0,5.0,2,2.0529,2.0481,2.0417,2.0356,2.0308,2.0274,2.0251,2.0235,2.0224,2.0219
1.0,0.1,50.0,3.333e-05,5.0,1000.0,5.0,3,2.1293,2.0874,2.057,2.0365,2.0236,2.0158,2.0111,2.0078,2.0054,2.005
