tau_sat,b,tau_0,gamma_0,n,cd,beta,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20
1.0,0.1,50.0,3.333e-05,1.0,200.0,5.0,1.0,-1.983e-15,251.34,253.9,253.94,254.02,254.06,254.03,253.78,253.06,251.39,247.85,241.11,229.88,214.08,195.41,176.1,157.45,139.94,123.27,106.92
1.0,0.1,50.0,3.333e-05,1.0,400.0,5.0,1.0,-1.983e-15,251.34,253.9,253.96,254.05,254.14,254.21,254.28,254.37,254.44,254.49,254.52,254.51,254.46,254.32,254.06,253.64,252.96,251.94,250.44
1.0,0.1,50.0,3.333e-05,1.0,600.0,5.0,1.0,-1.7626e-15,251.34,253.9,253.96,254.05,254.14,254.23,254.32,254.4,254.49,254.57,254.64,254.72,254.79,254.86,254.91,254.95,254.98,254.99,254.97
1.0,0.1,50.0,3.333e-05,1.0,800.0,5.0,1.0,-2.4236e-15,251.34,253.9,253.95,254.04,254.14,254.22,254.31,254.4,254.49,254.59,254.67,254.75,254.83,254.91,254.97,255.07,255.13,255.2,255.26
1.0,0.1,50.0,3.333e-05,1.0,1000.0,5.0,1.0,-3.3049e-15,251.33,253.89,253.92,254.02,254.11,254.2,254.29,254.38,254.47,254.56,254.65,254.73,254.81,254.88,254.95,255.03,255.11,255.18,255.24
1.0,0.1,50.0,3.333e-05,2.0,200.0,5.0,1.0,-1.322e-15,203.41,206.04,206.59,207.18,207.76,208.31,208.79,209.17,209.33,209.12,208.25,206.31,202.8,197.21,189.36,179.62,168.78,157.58,146.39
1.0,0.1,50.0,3.333e-05,2.0,400.0,5.0,1.0,-4.4066e-15,203.41,206.04,206.59,207.19,207.77,208.37,208.93,209.49,210.03,210.55,211.05,211.53,211.98,212.41,212.8,213.14,213.45,213.7,213.88
1.0,0.1,50.0,3.333e-05,2.0,600.0,5.0,1.0,-3.7456e-15,203.41,206.04,206.59,207.19,207.78,208.36,208.93,209.49,210.04,210.56,211.08,211.57,212.05,212.51,212.96,213.39,213.8,214.2,214.59
1.0,0.1,50.0,3.333e-05,2.0,800.0,5.0,1.0,-1.983e-15,203.41,206.04,206.59,207.19,207.78,208.36,208.93,209.49,210.04,210.56,211.08,211.57,212.06,212.52,212.97,213.41,213.83,214.23,214.64
1.0,0.1,50.0,3.333e-05,2.0,1000.0,5.0,1.0,-1.983e-15,203.41,206.04,206.59,207.19,207.78,208.36,208.93,209.49,210.04,210.56,211.08,211.58,212.06,212.52,212.97,213.41,213.83,214.25,214.65
